#   N_BLOCK:  ACCEPTANCE:
           1     0.356374
           2     0.356406
           3      0.35613
           4     0.356062
           5      0.35596
           6     0.356024
           7     0.356084
           8     0.356046
           9     0.356036
          10     0.356137
          11     0.356161
          12     0.356185
          13     0.356207
          14     0.356293
          15     0.356286
          16     0.356218
          17     0.356205
          18     0.356233
          19     0.356262
          20     0.356238
          21     0.356226
          22     0.356188
          23     0.356167
          24     0.356152
          25     0.356167
          26      0.35618
          27     0.356179
          28     0.356162
          29     0.356158
          30     0.356173
