#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              176.239              176.239                    0
           2              174.757              175.498             0.524118
           3              174.861              175.286             0.390062
           4              177.247              175.776             0.515656
           5              174.934              175.608             0.439138
           6              172.894              175.155              0.55177
           7              176.105              175.291             0.489354
           8               179.29              175.791             0.634051
           9              176.329              175.851             0.566413
          10               175.71              175.837             0.509948
          11               176.69              175.914             0.469449
          12              177.248              176.025             0.443281
          13              176.237              176.042              0.40948
          14              175.022              175.969             0.386658
          15              176.621              176.012             0.363317
          16              177.234              176.089             0.348543
          17              177.878              176.194             0.343563
          18              176.486               176.21             0.324859
          19              176.462              176.223             0.308032
          20              178.673              176.346             0.316049
          21              177.043              176.379             0.302735
          22              176.438              176.382             0.288987
          23              178.491              176.473             0.290615
          24              174.229               176.38             0.293164
          25               174.87               176.32             0.287589
          26              178.092              176.388             0.284491
          27              176.723                176.4             0.274226
          28              178.637               176.48             0.275822
          29              176.197               176.47             0.266484
          30              172.433              176.336              0.28959
