#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              18.4072              18.4072                    0
           2              18.2582              18.3327             0.052676
           3              18.2697              18.3117            0.0390804
           4              18.6436              18.3947            0.0775968
           5              18.7709              18.4699            0.0915586
           6               18.714              18.5106            0.0848566
           7              18.2695              18.4762            0.0794155
           8                18.51              18.4804            0.0696015
           9              18.5258              18.4854            0.0620504
          10              18.2906               18.466            0.0588237
          11              18.4941              18.4685            0.0535318
          12              17.6229               18.398             0.083429
          13              18.6147              18.4147            0.0786581
          14              18.5884              18.4271            0.0740113
          15              18.3794              18.4239            0.0691457
          16              18.4346              18.4246            0.0648273
          17              18.5463              18.4318            0.0614077
          18              18.2686              18.4227            0.0586616
          19              18.6271              18.4335            0.0565524
          20              18.4639               18.435            0.0537452
          21              18.6208              18.4438            0.0519089
          22              18.4001              18.4418            0.0495875
          23              18.7123              18.4536             0.048806
          24              17.9836               18.434            0.0505494
          25              18.1408              18.4223            0.0498693
          26              18.9227              18.4415            0.0515314
          27              18.0079              18.4255            0.0520652
          28              18.4768              18.4273            0.0502379
          29              18.0046              18.4127            0.0505759
          30              18.1877              18.4052             0.049443
          31              18.5617              18.4103            0.0481049
          32              18.5704              18.4153            0.0468611
          33              18.3385              18.4129            0.0454987
          34              18.0869              18.4034            0.0451597
          35              18.0997              18.3947            0.0446948
          36              18.8077              18.4062            0.0449015
          37              18.1304              18.3987            0.0443021
          38              18.7225              18.4072            0.0439482
          39              18.3791              18.4065            0.0428273
          40              18.4853              18.4085            0.0418019
