#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              212.559              212.559                    0
           2              225.383              218.971              4.53391
           3              222.557              220.167              3.17624
           4              218.401              219.725              2.41265
           5              214.835              218.747              2.11911
           6              216.073              218.301               1.8122
           7              220.782              218.656              1.58758
           8              214.857              218.181               1.4584
           9              214.083              217.726              1.36558
          10              206.546              216.608              1.62341
          11              209.451              215.957               1.6009
          12              209.358              215.407              1.55907
          13              207.897              214.829              1.54246
          14              213.636              214.744              1.43464
          15              215.413              214.789              1.33969
          16              222.589              215.276              1.34174
          17                224.3              215.807              1.36379
          18              221.863              216.144              1.32888
          19              223.035              216.506              1.30749
          20              203.213              215.842               1.4009
          21              215.767              215.838              1.33419
          22              223.137               216.17              1.31416
          23              220.567              216.361              1.27085
          24              203.374               215.82              1.32812
          25              207.293              215.479              1.31806
          26              226.974              215.921              1.33947
          27              206.064              215.556              1.33869
          28              219.979              215.714              1.30016
          29              193.611              214.952              1.46175
          30              212.697              214.877              1.41495
          31              225.709              215.226              1.41179
          32              215.535              215.236              1.36771
          33              206.984              214.986              1.34893
          34              212.213              214.904              1.31172
          35              230.831              215.359              1.35086
          36               218.85              215.456              1.31682
          37              219.645              215.569              1.28608
          38              207.989               215.37              1.26762
          39              210.509              215.245              1.24122
          40              223.306              215.447              1.22644
