#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               4.0221               4.0221                    0
           2               4.1205               4.0713            0.0347897
           3               5.4207               4.5211             0.367992
           4                4.321              4.47107             0.279373
           5               4.2938              4.43562             0.225737
           6               3.7949              4.32883             0.211872
           7               4.6957              4.38124             0.187975
           8               4.6759              4.41807             0.168048
           9               5.0966              4.49347             0.165425
          10               3.6996              4.41408             0.166848
          11               4.5269              4.42434             0.151995
          12               4.2251              4.40773             0.140232
          13               3.9724              4.37425             0.133384
          14               4.3552              4.37289             0.123863
          15               4.0661              4.35243             0.117282
          16               3.9132              4.32498             0.113119
          17               3.1592              4.25641             0.125542
          18                5.076              4.30194             0.126555
          19               4.4901              4.31184             0.120281
          20                3.693               4.2809              0.11818
          21               2.9563              4.21782             0.128286
          22               4.7769              4.24324             0.124946
          23               3.7439              4.22153             0.121385
          24               5.1948              4.26208             0.122915
          25               4.3795              4.26678             0.118088
          26               3.3818              4.23274              0.11835
          27                4.696               4.2499             0.115204
          28               4.3782              4.25448             0.111181
          29               4.0552              4.24761             0.107559
          30               3.7483              4.23096             0.105253
          31                4.301              4.23322             0.101882
          32               3.9465              4.22426            0.0990918
          33               3.8061              4.21159            0.0968959
          34               4.2658              4.21319            0.0940591
          35               5.5801              4.25224            0.0991488
          36               4.4478              4.25767            0.0965433
          37               3.9991              4.25068            0.0941867
          38               4.8032              4.26522            0.0928236
          39               4.6279              4.27452            0.0909081
          40               4.8223              4.28822            0.0896609
