#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              9.94338              9.94338                    0
           2              10.3909              10.1671             0.158215
           3              10.7736              10.3693             0.195892
           4              11.0622              10.5425             0.209974
           5              10.4993              10.5339             0.168157
           6              10.6582              10.5546             0.141402
           7              10.2881              10.5165             0.126223
           8              10.3963              10.5015             0.111336
           9               11.768              10.6422             0.165518
          10              10.7276              10.6508             0.149186
          11              10.4819              10.6354             0.136411
          12              10.9916              10.6651             0.128232
          13              10.8001              10.6755             0.118788
          14              10.5807              10.6687             0.110496
          15              10.5631              10.6617             0.103353
          16              10.1449              10.6294             0.101816
          17              10.0912              10.5977             0.100627
          18              11.7456              10.6615             0.113459
          19               9.8163               10.617              0.11588
          20              10.6493              10.6186             0.110097
          21               9.7572              10.5776             0.112236
          22              11.0573              10.5994             0.109232
          23               10.168              10.5806             0.106081
          24              10.3234              10.5699             0.102201
          25              9.12782              10.5122             0.113228
          26              9.90312              10.4888              0.11127
          27              11.0805              10.5107             0.109285
          28              10.3778               10.506             0.105485
          29               10.021              10.4893             0.103165
          30              10.5915              10.4927            0.0997822
