#   N_BLOCK:  ACCEPTANCE:
           1     0.188488
           2     0.188372
           3     0.188561
           4     0.188469
           5      0.18858
           6     0.188664
           7     0.188819
           8     0.188835
           9     0.188702
          10     0.188754
          11     0.188649
          12     0.188674
          13     0.188698
          14     0.188683
          15     0.188547
          16     0.188561
          17     0.188554
          18      0.18853
          19     0.188583
          20     0.188589
          21     0.188563
          22     0.188524
          23     0.188557
          24     0.188593
          25     0.188611
          26     0.188598
          27     0.188655
          28     0.188722
          29     0.188738
          30     0.188718
