#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.7357              21.7357                    0
           2               21.969              21.8524            0.0824828
           3              21.9045              21.8698            0.0567921
           4              22.0229              21.9081            0.0539795
           5              21.8595              21.8983            0.0440483
           6              21.7054              21.8662            0.0470002
           7               22.106              21.9004            0.0512726
           8              21.5486              21.8565            0.0608684
           9              22.0791              21.8812            0.0589198
          10              21.8234              21.8754            0.0533108
          11              22.2931              21.9134            0.0604941
          12              21.4673              21.8762            0.0658944
          13              21.7475              21.8663            0.0615656
          14              21.2905              21.8252            0.0695621
          15              22.0307              21.8389            0.0662597
          16              21.3404              21.8077            0.0690546
          17              21.6954              21.8011            0.0653082
          18              21.8028              21.8012              0.06168
          19              21.7663              21.7994            0.0584611
          20              21.7641              21.7976            0.0555647
          21              21.5114               21.784             0.054565
          22              21.5712              21.7743            0.0529348
          23              21.8871              21.7792            0.0508598
          24              21.9596              21.7867             0.049293
          25              21.8348              21.7886            0.0473587
          26              21.7213              21.7861            0.0456079
          27              22.1718              21.8003            0.0461017
          28               21.876               21.803            0.0445343
          29               22.055              21.8117            0.0438382
          30              21.8093              21.8117             0.042377
