     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.94749     0.71297    -0.27053    0.010211
    -0.84638      1.0115     0.26542    0.032487
    -0.67631      1.0518    0.051591    0.020703
    -0.74333     0.85356    -0.23512     0.01181
     -0.5183     0.73934    -0.26982   0.0039306
    -0.39024     0.96896    -0.24582   0.0072788
    -0.28573     0.94266    -0.24889   0.0063552
   -0.034947      1.0237    -0.25957   0.0073321
   -0.034947      1.0237    -0.25957   0.0073321
    0.064721     0.80741    -0.12115   0.0054601
    -0.20963      1.0869    -0.21088    0.013215
    -0.12427      1.2732    0.097956     0.02836
    -0.26471      1.1241    -0.15523    0.019603
    -0.20846     0.88483    -0.22863   0.0057042
    -0.41704     0.77111    -0.21844   0.0050287
    -0.41704     0.77111    -0.21844   0.0050287
    -0.36626      1.0115     -0.2295    0.010433
   -0.096732     0.96986    -0.24504   0.0062452
   -0.096732     0.96986    -0.24504   0.0062452
     0.19437      1.1403    -0.12976    0.016674
     0.19437      1.1403    -0.12976    0.016674
     0.46442      1.1465   -0.033587    0.020557
     0.36433      1.2614     0.21266    0.033094
     0.36433      1.2614     0.21266    0.033094
     0.36433      1.2614     0.21266    0.033094
     0.13385      1.3365      0.3269    0.031658
     0.13385      1.3365      0.3269    0.031658
     0.40451       1.152   -0.025664    0.019044
     0.40451       1.152   -0.025664    0.019044
     0.16269      1.2838     0.14591     0.03087
     0.16875      1.2135    0.032552    0.023905
     0.41925      1.0549     -0.1539    0.018255
     0.32588     0.97993    -0.24175   0.0078415
     0.61743     0.82416    -0.29601   0.0081019
     0.86162     0.63423    -0.42357    0.003433
     0.86162     0.63423    -0.42357    0.003433
      1.0649     0.67261   -0.089647    0.010284
     0.97653     0.78442   -0.058942    0.015828
      1.0803     0.69338  -0.0038213    0.012364
     0.82454     0.98267     0.10314    0.022596
     0.82454     0.98267     0.10314    0.022596
     0.82454     0.98267     0.10314    0.022596
     0.68614     0.75172    -0.35205   0.0054947
     0.68614     0.75172    -0.35205   0.0054947
     0.72084     0.53412    -0.36655   0.0042084
     0.72084     0.53412    -0.36655   0.0042084
     0.63857     0.68816    -0.36066   0.0030239
     0.63857     0.68816    -0.36066   0.0030239
     0.72138     0.53555    -0.36564   0.0045094
     0.88623      0.5317    -0.33409   0.0045883
     0.69131     0.73367    -0.36578   0.0039901
     0.50693     0.60318    -0.18154   0.0045619
     0.58827     0.53812    -0.25868   0.0042929
     0.47218     0.82412    -0.26826   0.0059665
     0.48048     0.88284    -0.26371   0.0073476
     0.48048     0.88284    -0.26371   0.0073476
     0.48048     0.88284    -0.26371   0.0073476
     0.48048     0.88284    -0.26371   0.0073476
     0.59355      0.6628    -0.31638   0.0037165
     0.45396     0.73946    -0.22199   0.0043922
      0.5321      0.7421    -0.28381   0.0039814
      0.7311     0.90542    -0.16887    0.015188
     0.74817       1.044    0.098736     0.02306
     0.78157     0.80511    -0.29081   0.0090491
     0.57997      0.8917    -0.26694   0.0084315
     0.57997      0.8917    -0.26694   0.0084315
      0.4219     0.72588    -0.18618   0.0050238
     0.34695     0.89832    -0.25054    0.005423
     0.34695     0.89832    -0.25054    0.005423
     0.37378     0.84574    -0.23398   0.0054541
     0.30908      1.0382    -0.20828    0.012417
     0.30908      1.0382    -0.20828    0.012417
     0.47875     0.94161    -0.25832    0.010555
     0.32225      1.0396    -0.23197    0.011438
      0.3853      1.0164     -0.2237    0.012633
     0.55892     0.76204    -0.29891   0.0040852
      0.6068     0.84893    -0.28214   0.0090125
     0.48047     0.63474    -0.17369   0.0049639
     0.48047     0.63474    -0.17369   0.0049639
     0.72539     0.54386    -0.37804   0.0034441
     0.72539     0.54386    -0.37804   0.0034441
     0.72539     0.54386    -0.37804   0.0034441
     0.72539     0.54386    -0.37804   0.0034441
     0.89788     0.58616    -0.39858   0.0033613
     0.89788     0.58616    -0.39858   0.0033613
     0.89788     0.58616    -0.39858   0.0033613
     0.73844     0.67207    -0.42392   0.0027391
     0.77322     0.58746    -0.43301   0.0023565
     0.77322     0.58746    -0.43301   0.0023565
     0.73543     0.60871    -0.43318    0.002164
     0.73543     0.60871    -0.43318    0.002164
     0.73543     0.60871    -0.43318    0.002164
     0.73543     0.60871    -0.43318    0.002164
     0.43884     0.67553    -0.14595   0.0054306
