#   N_BLOCK:  ACCEPTANCE:
           1    0.0885847
           2    0.0883617
           3    0.0879817
           4    0.0877938
           5    0.0878353
           6    0.0877952
           7    0.0876773
           8    0.0879218
           9    0.0878753
          10    0.0878906
          11    0.0878797
          12    0.0878129
          13     0.087746
          14     0.087745
          15     0.087566
          16    0.0876854
          17    0.0877357
          18    0.0877906
          19    0.0878228
          20    0.0878616
          21     0.087885
          22    0.0879321
          23    0.0879167
          24    0.0879365
          25    0.0879861
          26    0.0880156
          27     0.087994
          28    0.0880384
          29    0.0880981
          30    0.0881137
