#   N_BLOCK:  ACCEPTANCE:
           1     0.137438
           2     0.137249
           3     0.137449
           4     0.137689
           5     0.137753
           6     0.137831
           7     0.138051
           8     0.138068
           9     0.138082
          10     0.138038
          11     0.138008
          12     0.138048
          13     0.138013
          14     0.137953
          15     0.137795
          16     0.137766
          17     0.137815
          18     0.137743
          19     0.137846
          20     0.137873
          21     0.137791
          22      0.13781
          23     0.137786
          24     0.137774
          25     0.137854
          26     0.137863
          27     0.137911
          28     0.137959
          29     0.138005
          30     0.138025
