#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              871.874              871.874                    0
           2              888.926                880.4              6.02901
           3              868.436              876.412              5.17283
           4              855.639              871.219              5.93968
           5              888.119              874.599              5.63194
           6              878.511              875.251              4.73088
           7              855.448              872.422              4.82734
           8              870.958              872.239              4.22739
           9              858.965              870.764              4.00669
          10              866.166              870.304              3.63232
          11              866.033              869.916               3.3228
          12              851.251               868.36              3.39046
          13              873.953              868.791              3.15684
          14              892.154               870.46              3.34348
          15              904.064                872.7              3.79767
          16              858.684              871.824              3.65996
          17              862.039              871.248              3.48963
          18              870.747               871.22              3.29587
          19              877.321              871.541              3.13801
          20              849.095              870.419              3.17548
          21              900.516              871.852              3.33201
          22              848.476               870.79               3.3457
          23              889.304              871.595              3.29565
          24               896.95              872.651              3.32335
          25              846.066              871.588              3.35624
          26              869.927              871.524              3.22776
          27              847.167              870.622              3.23182
          28               883.12              871.068              3.14707
          29              873.103              871.138              3.03934
          30              868.143              871.038              2.93967
