#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.7605              21.7605                    0
           2              21.9385              21.8495            0.0629299
           3              22.2084              21.9691             0.106307
           4              21.5665              21.8685             0.118126
           5              21.9247              21.8797            0.0950358
           6              22.0568              21.9092            0.0836552
           7              22.2884              21.9634             0.087499
           8              21.9377              21.9602            0.0766207
           9              21.5621              21.9159            0.0798616
          10              21.8429              21.9086            0.0722086
          11              21.3919              21.8617            0.0794679
          12              21.3613                21.82            0.0830669
          13              21.8772              21.8244            0.0767939
          14              21.7798              21.8212            0.0713746
          15              21.7628              21.8173            0.0667223
          16              21.7514              21.8132            0.0626792
          17              21.9566              21.8216            0.0595574
          18              21.3756              21.7968            0.0611874
          19              22.0028              21.8077            0.0589195
          20              21.5565              21.7951            0.0572967
          21              21.9319              21.8016            0.0549373
          22              21.9799              21.8097            0.0530343
          23              22.2249              21.8278            0.0537128
          24              22.3464              21.8494            0.0556525
          25              21.9774              21.8545            0.0536613
          26              21.8023              21.8525             0.051635
          27              21.8041              21.8507            0.0497537
          28              22.1029              21.8597            0.0487852
          29              22.3186              21.8755            0.0496031
          30              22.1729              21.8855            0.0489297
