#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              15.1325              15.1325                    0
           2              16.3488              15.7407             0.430041
           3              16.7214              16.0676             0.391707
           4              16.0049              16.0519             0.294093
           5              17.4339              16.3283             0.341276
           6              18.3624              16.6673             0.420308
           7              16.3244              16.6183             0.363108
           8              17.1592              16.6859             0.323954
           9              17.1912              16.7421             0.292783
          10              17.1376              16.7816             0.266163
          11              16.4624              16.7526             0.243543
          12              16.1588              16.7031              0.22822
          13              17.0884              16.7328              0.21258
          14              16.2808              16.7005             0.199832
          15              17.1968              16.7336             0.189229
          16              15.9004              16.6815             0.184428
          17              16.7917               16.688             0.173693
          18               16.772              16.6926             0.164106
          19              16.4497              16.6799             0.155966
          20              15.7293              16.6323             0.155241
          21              17.8012               16.688             0.157511
          22               15.943              16.6541             0.153948
          23              15.6293              16.6096             0.153568
          24              16.5168              16.6057             0.147218
          25              16.4699              16.6003              0.14143
          26              15.5541                16.56             0.141598
          27               16.169              16.5456             0.137092
          28              16.6838              16.5505             0.132285
          29              15.7381              16.5225             0.130656
          30              17.0547              16.5402             0.127499
