     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.15577     0.75861   -0.061473   0.0060197
    -0.05466      1.0572    -0.24439    0.011158
      0.1154      1.0975    -0.20035    0.011962
    0.048383     0.89919     -0.2035   0.0055456
     0.27342     0.78498    -0.14671   0.0053511
     0.40148      1.0146    -0.20361    0.010404
     0.50599      0.9883    -0.19959    0.013513
     0.75677      1.0694     0.21969    0.027213
     0.70165     0.79948    -0.32384   0.0077991
     0.80132     0.58315    -0.43578   0.0025203
     0.80132     0.58315    -0.43578   0.0025203
     0.88668     0.76943    -0.26069    0.013105
     0.74624     0.62041    -0.43633   0.0019047
     0.74624     0.62041    -0.43633   0.0019047
     0.74624     0.62041    -0.43633   0.0019047
     0.74624     0.62041    -0.43633   0.0019047
     0.79702     0.86084    -0.18774    0.014644
     0.79702     0.86084    -0.18774    0.014644
     0.58821      1.0767   -0.027629    0.023768
     0.58821      1.0767   -0.027629    0.023768
     0.45614      1.1237   -0.070391    0.022337
     0.72619      1.1299     0.29467     0.03665
      0.6261      1.2448     0.58723    0.048273
      0.6261      1.2448     0.58723    0.048273
      0.6261      1.2448     0.58723    0.048273
     0.39562        1.32     0.46153    0.035618
     0.39562        1.32     0.46153    0.035618
     0.66627      1.1355     0.24449    0.029082
     0.42845       1.299     0.49961    0.050143
     0.18663      1.4308     0.72967    0.055595
     0.19269      1.3605      0.5016    0.048371
     0.44319      1.2018     0.15421    0.034148
     0.34982      1.1269    -0.12536    0.015949
     0.64137     0.97113    -0.15086    0.018104
     0.88556      0.7812    -0.22396    0.011675
     0.64325      1.0592    0.021027    0.023279
     0.84653      1.0976     0.51219    0.036211
     0.75816      1.2094      0.7311    0.046708
     0.86191      1.1184     0.72288    0.051005
     0.86191      1.1184     0.72288    0.051005
     0.86191      1.1184     0.72288    0.051005
     0.86191      1.1184     0.72288    0.051005
      0.7235     0.88743    -0.19744    0.015695
     0.47235     0.67028    -0.19362   0.0047933
     0.50706     0.45268   -0.015276   0.0065396
     0.50706     0.45268   -0.015276   0.0065396
     0.42479     0.60672   -0.071499   0.0059972
     0.28428     0.70635   -0.045095   0.0061107
     0.36709     0.55373     0.11421   0.0061971
     0.53194     0.54988    -0.18276    0.004228
     0.33702     0.75186    -0.14774   0.0056598
     0.15264     0.62137     0.22598   0.0075306
     0.23398      0.5563     0.31925   0.0091252
     0.11789     0.84231    -0.17054   0.0051463
     0.12618     0.90103    -0.21951   0.0054363
     0.12618     0.90103    -0.21951   0.0054363
   -0.085075     0.84458    -0.16948   0.0054135
     0.16496     0.84153      -0.171   0.0049512
     0.27803     0.62148     0.11585   0.0073461
     0.13844     0.69815     0.06842   0.0068409
     0.21658     0.70078    0.011503   0.0061993
     0.41558     0.86411    -0.25026   0.0062237
     0.43265      1.0027    -0.22961    0.009934
     0.46605     0.76379    -0.24735   0.0047175
     0.26445     0.85038    -0.20661   0.0041162
     0.28976     0.96808    -0.25938   0.0069295
     0.13169     0.80227    -0.11477   0.0054794
    0.056736      0.9747    -0.25285   0.0054032
   -0.097324     0.76618   -0.065475   0.0053318
   -0.070491      0.7136    0.047805   0.0068203
    -0.13519     0.90606    -0.22435   0.0054561
    0.094297      1.0936     -0.1889    0.016371
     0.26397     0.99701    -0.23921   0.0094551
     0.10747       1.095    -0.22283    0.011645
     0.17052      1.0718    -0.21979    0.012838
     0.34414     0.81744    -0.21786   0.0050935
     0.39202     0.90433    -0.24812   0.0074804
     0.26569     0.69014  -0.0063329   0.0069444
    0.035749     0.71345    0.051861   0.0070226
     0.28067     0.62257    0.098832   0.0061862
     0.54057     0.45346   -0.053219   0.0077581
     0.54057     0.45346   -0.053219   0.0077581
     0.54057     0.45346   -0.053219   0.0077581
     0.71306     0.49576    -0.27038   0.0058951
     0.45172     0.76488    -0.23322   0.0047969
     0.45172     0.76488    -0.23322   0.0047969
     0.29228     0.85079    -0.21815   0.0050013
     0.32706     0.76618    -0.15459   0.0048031
     0.40561     0.51161    0.095424   0.0068201
     0.36782     0.53287     0.13486   0.0067313
     0.36782     0.53287     0.13486   0.0067313
     0.36782     0.53287     0.13486   0.0067313
     0.36782     0.53287     0.13486   0.0067313
    0.071227     0.59969     0.33948   0.0094986
    0.071227     0.59969     0.33948   0.0094986
    -0.15344     0.77705   -0.087762   0.0065736
    -0.10928     0.79136    -0.10954   0.0061742
    0.021395     0.79812   -0.090027   0.0053017
     0.17483     0.97635    -0.25338   0.0067169
      0.3045     0.90322    -0.23124   0.0059259
     0.14104      1.1983   -0.063714    0.020136
     0.24318      1.0042    -0.24554   0.0092854
     0.34862     0.86787    -0.25427   0.0051733
      0.3403     0.82538    -0.20389   0.0050287
     0.59255     0.97002    -0.17624    0.015913
     0.49827     0.91288    -0.26646   0.0081043
     0.56466     0.94042    -0.22708     0.01273
     0.43484     0.82391    -0.25334   0.0048037
     0.53661     0.61574    -0.23584   0.0045398
     0.80763     0.77932    -0.31651   0.0090066
     0.85188     0.70263    -0.39511   0.0063813
     0.55331     0.66141     -0.2789   0.0041063
     0.56155     0.65659    -0.28379   0.0038285
     0.56155     0.65659    -0.28379   0.0038285
      0.7523     0.56495    -0.41863   0.0026816
     0.69772     0.59722    -0.40028   0.0024619
     0.69772     0.59722    -0.40028   0.0024619
     0.82994     0.63974    -0.43942   0.0033748
     0.87806     0.85542    -0.12173    0.015163
     0.87806     0.85542    -0.12173    0.015163
     0.96746      1.0469     0.73587     0.04031
