#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              15.4913              15.4913                    0
           2              15.2258              15.3585            0.0938582
           3              15.3065              15.3412            0.0641532
           4              15.1619              15.2964            0.0618279
           5              15.1532              15.2677            0.0557011
           6              15.1488              15.2479            0.0498197
           7              15.1627              15.2357            0.0441653
           8              15.7191              15.2962            0.0684632
           9              15.3642              15.3037            0.0612718
          10              15.2901              15.3023            0.0551597
          11              15.3162              15.3036            0.0501596
          12              15.1197              15.2883            0.0482636
          13              15.1197              15.2753            0.0462609
          14              15.4479              15.2876            0.0445691
          15              15.3698              15.2931            0.0419334
          16              15.4563              15.3033            0.0405339
          17              15.2831              15.3021             0.038167
          18              15.2102               15.297            0.0363871
          19              15.1632                15.29            0.0351476
          20              15.2288              15.2869            0.0335229
          21              15.7646              15.3097            0.0388844
          22              15.2141              15.3053            0.0373588
          23              15.2978               15.305            0.0357359
          24               14.805              15.2842            0.0398589
          25              15.3659              15.2874            0.0383983
          26              15.6878              15.3028            0.0398897
          27              15.1815              15.2983            0.0386647
          28              15.4771              15.3047            0.0378073
          29              15.0913              15.2974            0.0372128
          30              15.2622              15.2962            0.0359908
          31              15.3687              15.2985            0.0349058
          32              15.3662              15.3006            0.0338791
          33              15.2379              15.2987            0.0329057
          34              15.4162              15.3022            0.0321187
          35              15.0865               15.296            0.0317865
          36              15.2728              15.2954            0.0309101
          37               15.187              15.2925            0.0302133
          38              15.1995                15.29             0.029517
          39              15.4562              15.2943             0.029066
          40              15.0982              15.2894            0.0287497
