#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               5.9581               5.9581                    0
           2              5.44434              5.70122             0.181642
           3              5.96974              5.79073             0.141438
           4              5.61126              5.74586             0.112971
           5               5.5289              5.70247            0.0983579
           6              5.94364              5.74266            0.0898033
           7              6.37932              5.83361             0.114085
           8              5.69796              5.81666             0.101077
           9               5.8219              5.81724            0.0898476
          10              5.15576              5.75109             0.102356
          11              5.42932              5.72184            0.0971412
          12              6.12384              5.75534            0.0946464
          13                5.997              5.77393            0.0891727
          14              6.42114              5.82016            0.0940259
          15              5.33718              5.78796            0.0931075
          16              6.07652                5.806            0.0890179
          17              6.50394              5.84705            0.0927672
          18              5.67038              5.83724            0.0881312
          19              5.90784              5.84095             0.083571
          20              6.10242              5.85403            0.0804085
          21              5.54342              5.83923             0.077928
          22                 5.93              5.84336             0.074495
          23              5.77076               5.8402            0.0713229
          24              6.41868              5.86431            0.0723093
          25              6.47572              5.88876            0.0734364
          26              5.90188              5.88927            0.0706136
          27              5.31718              5.86808            0.0711062
          28              6.39284              5.88682            0.0709936
          29              5.09404              5.85948             0.073621
          30              5.39778              5.84409            0.0727578
