#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               3.6225               3.6225                    0
           2               2.8714              3.24695             0.265554
           3               3.2398              3.24457             0.177047
           4               3.3406              3.26857             0.134403
           5               2.5907                3.133             0.162066
           6               2.9425              3.10125              0.13813
           7               2.6589              3.03806             0.132064
           8               2.9274              3.02422             0.116278
           9                3.806              3.11109             0.131871
          10               3.4031              3.14029             0.121874
          11               3.2361                3.149             0.111105
          12               2.9441              3.13192              0.10315
          13               2.8548              3.11061            0.0973933
          14               3.7302              3.15486            0.0999877
          15               3.1237              3.15279            0.0933434
          16               3.0789              3.14817            0.0876236
          17               3.1413              3.14776            0.0824702
          18               3.5676              3.17109            0.0811198
          19               3.4264              3.18453            0.0779553
          20               3.4724              3.19892            0.0753747
          21               2.6889              3.17463            0.0755969
          22                3.616               3.1947            0.0747754
          23                3.194              3.19467            0.0715243
          24               3.0526              3.18875            0.0687886
          25               2.5287              3.16234             0.070923
          26               3.0049              3.15629            0.0684532
          27               2.9464              3.14851            0.0663578
          28                2.774              3.13514             0.065322
          29               3.4191              3.14493            0.0637992
          30               3.4262              3.15431            0.0623577
          31               2.8616              3.14486            0.0610568
          32               3.6062              3.15928             0.060827
          33               2.8083              3.14865            0.0599064
          34               3.9076              3.17097            0.0621643
          35               3.1143              3.16935            0.0604093
          36               3.1325              3.16832            0.0587399
          37               3.2814              3.17138            0.0572318
          38               3.4227              3.17799            0.0561065
          39               3.3295              3.18188            0.0548022
          40                3.582              3.19188            0.0543374
