#   N_BLOCK:  ACCEPTANCE:
           1     0.374719
           2     0.376246
           3      0.37565
           4     0.375845
           5     0.376181
           6     0.376383
           7     0.376379
           8     0.376643
           9     0.376661
          10     0.376532
          11     0.376612
          12     0.376538
          13      0.37653
          14     0.376787
          15     0.376807
          16     0.376845
          17      0.37687
          18     0.376807
          19     0.376828
          20      0.37686
          21     0.376753
          22      0.37673
          23     0.376778
          24     0.376741
          25     0.376634
          26     0.376627
          27     0.376633
          28     0.376577
          29     0.376541
          30      0.37651
          31     0.376545
          32     0.376549
          33     0.376589
          34     0.376581
          35     0.376568
          36     0.376574
          37     0.376558
          38     0.376535
          39     0.376511
          40     0.376538
