     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.76458     0.66791    -0.41954    0.004859
    -0.66348     0.96646    -0.16599    0.013349
    -0.49341      1.0068    -0.19684     0.01164
    -0.56043      0.8085    -0.29428   0.0055808
     -0.3354     0.69428   -0.071348   0.0063108
    -0.20733      0.9239    -0.23885   0.0048616
    -0.10283      0.8976     -0.2233   0.0046323
     0.14796     0.97868    -0.26167   0.0060042
     0.14796     0.97868    -0.26167   0.0060042
     0.24762     0.76235    -0.11509   0.0057797
   -0.026722      1.0418    -0.24481    0.010514
    0.058634      1.2281   -0.060188    0.019302
   -0.081803      1.0791    -0.23225    0.011914
   -0.025553     0.83977    -0.16022   0.0046449
   -0.025553     0.83977    -0.16022   0.0046449
   -0.025553     0.83977    -0.16022   0.0046449
    0.025229      1.0802    -0.23422    0.011099
     0.29475      1.0385     -0.2221   0.0092345
     0.29475      1.0385     -0.2221   0.0092345
     0.29475      1.0385     -0.2221   0.0092345
     0.16269      1.0855    -0.21686    0.011342
     0.43273      1.0917    -0.13547    0.016582
     0.33264      1.2066    0.070869    0.026229
     0.33264      1.2066    0.070869    0.026229
     0.33264      1.2066    0.070869    0.026229
     0.10217      1.2818     0.15605    0.025707
     0.10217      1.2818     0.15605    0.025707
     0.37282      1.0973    -0.13857    0.014866
     0.13499      1.2608     0.15656    0.039932
    -0.10683      1.3926     0.52262    0.046405
    -0.10076      1.3223     0.33937    0.042097
     0.14974      1.1636    -0.10585    0.022644
    0.056363      1.0887    -0.20197   0.0097011
     0.34791     0.93291    -0.25203    0.006436
     0.59211     0.74298    -0.30909   0.0052469
     0.34979       1.021    -0.21336    0.013174
     0.55308      1.0594    -0.08936    0.018319
     0.46471      1.1712    0.070068    0.025074
     0.56845      1.0802   -0.040022    0.023056
     0.56845      1.0802   -0.040022    0.023056
     0.56845      1.0802   -0.040022    0.023056
     0.56845      1.0802   -0.040022    0.023056
     0.43005     0.84921     -0.2491   0.0055722
     0.43005     0.84921     -0.2491   0.0055722
     0.46475     0.63161    -0.15382   0.0051798
     0.46475     0.63161    -0.15382   0.0051798
     0.38248     0.78565    -0.20839   0.0045997
     0.24197     0.88528    -0.22882   0.0048975
     0.32478     0.73266    -0.12017   0.0050489
     0.48963     0.72881    -0.24484   0.0042084
     0.29471     0.93079    -0.24979    0.006874
     0.11034      0.8003    -0.11124   0.0059596
     0.19167     0.73523   -0.041788    0.005771
    0.075583      1.0212    -0.24251   0.0096994
    0.083876        1.08    -0.22919   0.0099156
     -0.1211     0.85033    -0.16625   0.0063454
    -0.33236     0.79388    -0.18783    0.005293
    -0.33236     0.79388    -0.18783    0.005293
    -0.33236     0.79388    -0.18783    0.005293
    -0.47195     0.87055    -0.27641   0.0061505
    -0.39381     0.87318    -0.25266   0.0049333
    -0.19481      1.0365    -0.23843   0.0098315
    -0.17774      1.1751    -0.12432     0.01556
    -0.14434     0.93619    -0.24615   0.0056255
    -0.34594      1.0228    -0.21644    0.010861
    -0.34594      1.0228    -0.21644    0.010861
    -0.50401     0.85697    -0.27512   0.0062093
    -0.57896      1.0294    -0.13484    0.013909
    -0.73302     0.82089    -0.28811   0.0089901
    -0.70619     0.76831    -0.34216   0.0065804
    -0.70619     0.76831    -0.34216   0.0065804
     -0.4767     0.95584    -0.23066    0.013926
    -0.30703     0.85925    -0.22934   0.0055605
    -0.46353     0.95724    -0.25292   0.0085909
    -0.40047     0.93401    -0.25428   0.0082902
    -0.40047     0.93401    -0.25428   0.0082902
    -0.35259      1.0209    -0.20847    0.010622
    -0.47892     0.80671    -0.26886   0.0039749
    -0.70886     0.83002     -0.2895   0.0078035
    -0.46394     0.73914    -0.23089   0.0044799
    -0.20405     0.57003     0.31316   0.0092704
    -0.20405     0.57003     0.31316   0.0092704
    -0.48781     0.52088    -0.08608   0.0053859
    -0.31533     0.56318     0.17791   0.0067562
    -0.57666     0.83231    -0.31056   0.0067372
    -0.84438     0.57176    -0.41356   0.0030862
     -1.0038     0.65766    -0.22227   0.0077554
    -0.96904     0.57305    -0.32178   0.0037814
    -0.96904     0.57305    -0.32178   0.0037814
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
     -1.0068      0.5943    -0.26594   0.0051149
    -0.96267     0.60861    -0.33134   0.0044451
      -0.832     0.61537    -0.43988   0.0028183
    -0.67856      0.7936    -0.33119   0.0064994
    -0.54889     0.72047    -0.27727   0.0044709
    -0.71235      1.0155    0.027148    0.024229
    -0.61021      0.8215    -0.28711   0.0070575
    -0.50477     0.68512    -0.23516   0.0045254
    -0.51309     0.64263    -0.21366   0.0044136
    -0.26085     0.78728    -0.14069   0.0049737
    -0.35512     0.73014    -0.13022   0.0052329
    -0.28873     0.75767    -0.12538   0.0055317
    -0.41855     0.64116   -0.094218   0.0056577
    -0.41855     0.64116   -0.094218   0.0056577
    -0.14753     0.80474    -0.13024   0.0050055
    -0.10328     0.72805   0.0036322   0.0063536
    -0.40185     0.68684    -0.13336   0.0056149
    -0.39361     0.68201    -0.11921   0.0057454
    -0.61733     0.41636    0.063284    0.012191
    -0.61733     0.41636    0.063284    0.012191
    -0.67191     0.44863    -0.09216   0.0088478
    -0.67191     0.44863    -0.09216   0.0088478
     -0.5397     0.49115    -0.12389   0.0061174
    -0.49158     0.70682    -0.23047   0.0038247
    -0.35607     0.95071     -0.2549   0.0073713
    -0.26666      1.1422    -0.13519    0.015042
    -0.22592      1.0296     -0.2469     0.00845
    -0.13775      1.1453    -0.16676     0.01361
     0.13766     0.88838    -0.21809   0.0045749
      0.4113      1.1166   -0.075475    0.020184
     0.12036      1.2407    0.027514    0.025013
   -0.079572       1.107     -0.1752    0.016666
   -0.079572       1.107     -0.1752    0.016666
    0.092016      1.2568     0.12311     0.03681
