#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              120.013              120.013                    0
           2              119.549              119.781             0.164038
           3              119.688               119.75             0.112259
           4              117.907              119.289             0.407822
           5              118.985              119.228              0.33078
           6              119.309              119.242             0.275924
           7              121.748                119.6              0.40716
           8              120.637               119.73              0.37633
           9              118.169              119.556             0.372326
          10              117.825              119.383             0.373185
          11              119.272              119.373             0.339396
          12               119.88              119.415              0.31373
          13              120.086              119.467             0.293812
          14              120.591              119.547             0.283595
          15              120.554              119.614             0.272522
          16              117.844              119.504             0.277028
          17              118.087               119.42             0.272977
          18              120.902              119.503             0.269937
          19              121.434              119.604             0.274201
          20              119.898              119.619             0.260885
          21              118.261              119.554             0.256347
          22              118.154              119.491             0.252469
          23              119.708                119.5             0.241669
          24              118.817              119.472             0.233268
          25              119.957              119.491             0.224742
          26              117.535              119.416             0.228344
          27              118.813              119.393             0.220975
          28              118.875              119.375             0.213858
          29              118.816              119.356              0.20735
          30              118.772              119.336             0.201348
