#   N_BLOCK:  ACCEPTANCE:
           1     0.428323
           2     0.428401
           3     0.428264
           4     0.428351
           5      0.42841
           6      0.42831
           7     0.428249
           8     0.428305
           9     0.428256
          10     0.428286
          11     0.428291
          12     0.428255
          13     0.428292
          14     0.428299
          15     0.428299
          16     0.428275
          17     0.428269
          18     0.428292
          19     0.428302
          20     0.428327
          21     0.428339
          22     0.428301
          23     0.428294
          24     0.428291
          25     0.428324
          26     0.428362
          27     0.428355
          28     0.428367
          29     0.428336
          30      0.42833
