#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.33822              2.33822                    0
           2              2.43972              2.38897            0.0358857
           3              2.36782              2.38192            0.0246065
           4              2.39086              2.38415            0.0185561
           5               2.4852              2.40436              0.02339
           6              2.39558               2.4029            0.0195375
           7               2.5383              2.42224            0.0245181
           8              2.49212              2.43098            0.0229566
           9               2.4663               2.4349            0.0207386
          10              2.56366              2.44778            0.0223065
          11              2.42156              2.44539            0.0204056
          12              2.47046              2.44748            0.0188117
          13              2.65468              2.46342             0.023152
          14              2.43474              2.46137            0.0215888
          15               2.5551              2.46762            0.0210344
          16              2.32748              2.45886             0.021466
          17              2.31318              2.45029             0.021847
          18              2.38952              2.44692            0.0208925
          19              2.22358              2.43516            0.0228617
          20              2.34636              2.43072            0.0221456
          21               2.1938              2.41944            0.0237919
          22                2.586              2.42701            0.0238847
          23              2.28556              2.42086            0.0236247
          24              2.34286              2.41761            0.0228628
          25              2.50606              2.42115            0.0222204
          26              2.38506              2.41976             0.021409
          27              2.23072              2.41276            0.0217309
          28               2.5681              2.41831            0.0216514
          29              2.30336              2.41434            0.0212645
          30              2.19378              2.40699            0.0217896
