#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               1.5197               1.5197                    0
           2               1.5545               1.5371            0.0123037
           3               1.6447              1.57297             0.030412
           4               1.7409              1.61495            0.0429209
           5               0.9294              1.47784             0.127351
           6                1.271              1.44337             0.110694
           7               1.5642              1.46063            0.0962167
           8               1.2466              1.43388            0.0878304
           9               1.6189              1.45443            0.0804415
          10               1.3943              1.44842            0.0726218
          11               1.4586              1.44935            0.0660257
          12               1.4324              1.44793            0.0605387
          13               1.4086              1.44491            0.0559574
          14               1.5783              1.45444            0.0527654
          15               1.2985              1.44404            0.0502613
          16               1.8206              1.46757            0.0523409
          17               1.5645              1.47328            0.0495716
          18               1.7725               1.4899            0.0495266
          19                1.508              1.49085            0.0469291
          20               1.3985              1.48623            0.0448092
          21               1.5689              1.49017             0.042848
          22                 1.45              1.48835            0.0409392
          23               1.6082              1.49356            0.0394895
          24               1.3636              1.48814            0.0382136
          25               1.4542              1.48678            0.0367091
          26               1.5612              1.48965            0.0354087
          27               1.4041              1.48648            0.0342387
          28               1.3943              1.48319            0.0331738
          29               1.4216              1.48106            0.0320977
          30                1.352              1.47676            0.0313148
          31               1.3261               1.4719            0.0306795
          32               1.3247               1.4673            0.0300636
          33               1.4955              1.46815            0.0291647
          34               1.7315               1.4759            0.0293174
          35               1.6404               1.4806             0.028854
          36               1.4265               1.4791            0.0280917
          37                1.632              1.48323            0.0276347
          38               1.6216              1.48687            0.0271463
          39               1.4915              1.48699            0.0264505
          40               1.5549              1.48869            0.0258437
