#   N_BLOCK:  ACCEPTANCE:
           1     0.520923
           2     0.521778
           3     0.522256
           4     0.521978
           5     0.521768
           6     0.521939
           7     0.521632
           8     0.521589
           9     0.521604
          10     0.521655
          11     0.521713
          12     0.521612
          13     0.521639
          14     0.521691
          15     0.521786
          16     0.521713
          17     0.521757
          18     0.521734
          19     0.521743
          20     0.521717
          21     0.521707
          22     0.521691
          23     0.521772
          24     0.521747
          25     0.521785
          26     0.521806
          27     0.521857
          28     0.521828
          29     0.521786
          30     0.521843
          31     0.521843
          32     0.521879
          33     0.521853
          34     0.521892
          35      0.52187
          36     0.521833
          37      0.52182
          38     0.521809
          39     0.521796
          40     0.521794
