#   N_BLOCK:  ACCEPTANCE:
           1      0.36934
           2     0.369417
           3     0.369185
           4     0.369129
           5     0.369177
           6     0.369166
           7     0.369218
           8     0.369194
           9     0.369146
          10     0.369182
          11     0.369209
          12     0.369172
          13      0.36916
          14     0.369227
          15     0.369206
          16      0.36913
          17     0.369107
          18     0.369136
          19     0.369173
          20      0.36916
          21     0.369144
          22     0.369114
          23     0.369112
          24     0.369105
          25     0.369083
          26     0.369122
          27     0.369131
          28     0.369119
          29     0.369107
          30     0.369111
