#   N_BLOCK:  ACCEPTANCE:
           1     0.505936
           2     0.505794
           3     0.505865
           4     0.505857
           5     0.505802
           6     0.505716
           7     0.505727
           8     0.505765
           9     0.505712
          10     0.505729
          11     0.505737
          12       0.5057
          13     0.505707
          14     0.505685
          15     0.505689
          16     0.505669
          17     0.505661
          18     0.505694
          19     0.505724
          20      0.50572
          21     0.505754
          22     0.505733
          23     0.505711
          24     0.505724
          25     0.505721
          26     0.505729
          27      0.50573
          28     0.505742
          29     0.505712
          30     0.505718
