#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.494038            -0.494038                    0
           2            -0.494626            -0.494332          0.000207889
           3            -0.494032            -0.494232          0.000160911
           4            -0.493689            -0.494096          0.000168551
           5            -0.494717             -0.49422          0.000174639
           6            -0.494651            -0.494292          0.000159606
           7            -0.494173            -0.494275          0.000137715
           8            -0.494057            -0.494248          0.000123176
           9            -0.494722            -0.494301          0.000120245
          10            -0.494166            -0.494287          0.000108976
          11            -0.493676            -0.494232          0.000112341
          12            -0.494994            -0.494295          0.000119621
          13            -0.494048            -0.494276           0.00011192
          14            -0.494618            -0.494301           0.00010655
          15             -0.49465            -0.494324          0.000101968
          16            -0.494395            -0.494328          9.56925e-05
          17            -0.494022             -0.49431          9.17397e-05
          18            -0.493954            -0.494291          8.87483e-05
          19            -0.493927            -0.494271          8.61129e-05
          20            -0.494806            -0.494298          8.58614e-05
          21            -0.493346            -0.494253          9.29857e-05
          22            -0.494907            -0.494283          9.33957e-05
          23            -0.494654            -0.494299          9.07176e-05
          24            -0.493702            -0.494274          9.02846e-05
          25             -0.49433            -0.494276          8.67016e-05
          26            -0.493658            -0.494252          8.65685e-05
          27            -0.494026            -0.494244          8.37655e-05
          28            -0.494022            -0.494236          8.11466e-05
          29             -0.49492             -0.49426          8.17044e-05
          30            -0.494009            -0.494251          7.94074e-05
