#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.36072              1.36072                    0
           2              1.48442              1.42257            0.0437346
           3              1.29932              1.38149            0.0444446
           4              1.38842              1.38322            0.0333672
           5              1.29766              1.36611            0.0307703
           6              1.44556              1.37935            0.0283485
           7              1.48688              1.39471            0.0281547
           8              1.51666              1.40995            0.0284644
           9              1.21656              1.38847            0.0324133
          10              1.36574              1.38619            0.0292515
          11              1.38402                1.386            0.0265929
          12              1.20532              1.37094            0.0283202
          13              1.38496              1.37202            0.0261623
          14              1.45332              1.37783            0.0249297
          15              1.14904              1.36257            0.0275411
          16              1.41296              1.36572            0.0259992
          17               1.5227              1.37496            0.0260581
          18              1.37396               1.3749            0.0246105
          19              1.40736              1.37661            0.0233744
          20              1.39848               1.3777            0.0222313
          21              1.40216              1.37887            0.0212031
          22              1.39888              1.37978            0.0202588
          23              1.40126              1.38071            0.0193995
          24               1.4144              1.38211            0.0186419
          25               1.5074              1.38713            0.0185576
          26               1.4782              1.39063            0.0181715
          27              1.33362              1.38852            0.0176207
          28              1.51568              1.39306            0.0175669
          29              1.34702              1.39147            0.0170327
          30              1.37784              1.39102             0.016471
