#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              20.3557              20.3557                    0
           2              20.5048              20.4302            0.0527053
           3              20.5035              20.4547            0.0404006
           4              20.3093              20.4183            0.0436926
           5              20.1255              20.3598            0.0629695
           6              20.3835              20.3637            0.0525986
           7               20.098              20.3258            0.0571663
           8              20.2086              20.3111            0.0518615
           9              20.4043              20.3215            0.0471207
          10              20.0158              20.2909            0.0513724
          11              19.8593              20.2517            0.0598378
          12              20.2006              20.2474            0.0550024
          13              20.2834              20.2502             0.050841
          14              20.6397               20.278            0.0542909
          15              20.6313              20.3016             0.055547
          16              20.0672              20.2869            0.0539712
          17              20.5079              20.2999            0.0523386
          18              21.1308              20.3461            0.0667503
          19               20.205              20.3386            0.0636485
          20              20.0925              20.3263            0.0616446
          21              20.5727              20.3381            0.0598146
          22              20.5012              20.3455            0.0575536
          23              20.9853              20.3733            0.0614065
          24              19.8685              20.3523            0.0623457
          25              20.2523              20.3483              0.05998
          26              20.3037              20.3466            0.0576976
          27              20.5385              20.3537            0.0559971
          28              20.1026              20.3447            0.0547101
          29              19.9206              20.3301            0.0547428
          30              20.6096              20.3394             0.053705
          31               20.534              20.3457            0.0523381
          32              20.4135              20.3478            0.0507454
          33              19.5343              20.3231            0.0548691
          34              19.9291              20.3115            0.0544652
          35              20.5641              20.3188            0.0533847
          36              20.5425               20.325            0.0522625
          37              20.2768              20.3237            0.0508661
          38              20.1553              20.3192            0.0497202
          39              19.8942              20.3083            0.0496253
          40              20.7604              20.3196             0.049655
