#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.671613            -0.671613                    0
           2            -0.672098            -0.671856          0.000171686
           3             -0.67185            -0.671854          0.000114466
           4            -0.671271            -0.671708          0.000152592
           5            -0.669604            -0.671287          0.000395711
           6            -0.671692            -0.671355          0.000335456
           7            -0.671086            -0.671316           0.00028973
           8            -0.671407            -0.671328          0.000253736
           9            -0.671574            -0.671355           0.00022701
          10            -0.671584            -0.671378           0.00020546
          11            -0.670704            -0.671317          0.000195703
          12            -0.670034             -0.67121          0.000206516
          13            -0.669871            -0.671107          0.000214772
          14            -0.671917            -0.671165          0.000207077
          15            -0.671244             -0.67117          0.000193339
          16            -0.670831            -0.671149          0.000182411
          17             -0.67073            -0.671124           0.00017334
          18            -0.671579            -0.671149          0.000165543
          19            -0.669553            -0.671065          0.000176877
          20              -0.6708            -0.671052          0.000168531
          21            -0.669996            -0.671002          0.000167841
          22            -0.670625            -0.670985          0.000161085
          23            -0.669712            -0.670929          0.000163309
          24             -0.66957            -0.670873          0.000166031
          25            -0.671677            -0.670905          0.000162475
          26            -0.671262            -0.670919          0.000156804
          27             -0.67029            -0.670895          0.000152713
          28            -0.671338            -0.670911          0.000148073
          29            -0.670157            -0.670885          0.000145234
          30             -0.67206            -0.670924          0.000145577
