#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              202.571              202.571                    0
           2              208.993              205.782              2.27036
           3              204.588              205.384              1.54806
           4              203.829              204.995              1.20884
           5              209.167               205.83              1.22158
           6              206.599              205.958              1.02468
           7              209.009              206.394             0.966551
           8               205.98              206.342             0.847114
           9              207.389              206.458             0.760936
          10              203.967              206.209             0.724481
          11              205.458              206.141             0.661832
          12              203.579              205.927             0.640191
          13              208.904              206.156             0.630568
          14              208.912              206.353              0.61548
          15              204.236              206.212             0.590408
          16              201.732              205.932             0.616329
          17              202.224              205.714             0.617474
          18              205.767              205.717             0.583177
          19              208.071              205.841             0.565496
          20              206.712              205.884             0.538894
          21              208.094               205.99             0.523403
          22               204.13              205.905             0.506391
          23              200.317              205.662             0.539518
          24              205.435              205.653             0.517121
          25              209.476              205.806             0.518564
          26              208.148              205.896             0.506382
          27              204.664               205.85             0.489678
          28              209.482               205.98             0.489069
          29              204.945              205.944             0.473504
          30              209.183              206.052             0.469868
