#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              4.26146              4.26146                    0
           2              3.97324              4.11735             0.101901
           3              3.85624              4.03031            0.0983122
           4              3.96114              4.01302            0.0752398
           5              3.96728              4.00387            0.0607454
           6              4.15208              4.02857            0.0554163
           7               4.3819              4.07905            0.0666334
           8              4.02052              4.07173            0.0587045
           9              3.68404              4.02866             0.066124
          10              3.63766              3.98956            0.0701251
          11               4.0281              3.99306            0.0638375
          12              3.76778              3.97429             0.061216
          13              3.91504              3.96973            0.0566764
          14              4.37112               3.9984            0.0594392
          15              3.65454              3.97548            0.0597338
          16               3.8784              3.96941            0.0563077
          17              4.40292              3.99491            0.0584855
          18              3.94392              3.99208            0.0553049
          19              4.23348              4.00478            0.0538337
          20              3.89072              3.99908            0.0514433
          21              3.86562              3.99272            0.0493846
          22              4.12498              3.99874            0.0475043
          23              4.27324              4.01067            0.0469142
          24              4.23562              4.02004            0.0458862
          25              4.44928              4.03721            0.0471537
          26              4.28386               4.0467            0.0462845
          27              3.65098              4.03204            0.0468333
          28              4.57512              4.05144            0.0490127
          29              3.87794              4.04546            0.0476863
          30              3.74118              4.03531            0.0471631
