     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.79929      0.6327      -0.444   0.0024862
    -0.69819     0.93126     -0.1893    0.014871
    -0.52812     0.97155    -0.21411   0.0091231
    -0.59514     0.77329    -0.31368   0.0050777
    -0.37011     0.65908   -0.060361   0.0065952
    -0.24204      0.8887    -0.22145   0.0051589
    -0.13754      0.8624     -0.1942   0.0042041
     0.11325     0.94347    -0.24568   0.0053973
     0.11325     0.94347    -0.24568   0.0053973
     0.21291     0.72714   -0.044982   0.0063061
   -0.061432      1.0066    -0.24853   0.0091306
    0.023924      1.1929    -0.10172    0.018651
    -0.11651      1.0439    -0.24706    0.010666
   -0.060263     0.80456    -0.11194    0.004888
    -0.26885     0.69084    -0.01254   0.0071982
    -0.26885     0.69084    -0.01254   0.0071982
    -0.21806     0.93127    -0.24755   0.0061468
     0.05146      0.8896    -0.21198   0.0045761
    -0.15736      1.1055    -0.19155    0.015497
     0.13375      1.2759     0.14032     0.03008
     0.13375      1.2759     0.14032     0.03008
      0.4038      1.2821     0.30891    0.044352
      0.3037       1.397     0.67672    0.049459
      0.3037       1.397     0.67672    0.049459
     0.55829      1.4364      1.4958    0.077504
     0.32782      1.5116      1.4167    0.072074
     0.32782      1.5116      1.4167    0.072074
     0.59847      1.3271     0.78874    0.044783
     0.36064      1.4906      1.4984    0.091325
     0.11883      1.6224       2.003     0.10227
     0.12489      1.5521      1.5648     0.08205
     0.37539      1.3935     0.78274    0.067367
     0.28201      1.3185     0.29695    0.036397
     0.57356      1.1627     0.18751     0.03453
     0.81776     0.97282    0.098882    0.024417
     0.57545      1.2509     0.51467    0.041795
     0.77873      1.2892      1.1636    0.065377
     0.69036       1.401      1.5293     0.07178
      0.7941        1.31      1.4882    0.080547
     0.53837      1.5993      2.5375     0.11957
     0.53837      1.5993      2.5375     0.11957
     0.53837      1.5993      2.5375     0.11957
     0.39996      1.3683     0.73408    0.047752
     0.14881      1.1512    -0.12668    0.018819
     0.18352      0.9336    -0.24105   0.0059085
