#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              4.00262              4.00262                    0
           2              3.65846              3.83054             0.121679
           3              4.19324              3.95144             0.127769
           4               3.9562              3.95263            0.0958322
           5              4.10796               3.9837            0.0815458
           6              4.57982              4.08305             0.113331
           7                3.949               4.0639            0.0987454
           8              3.79784              4.03064            0.0918321
           9              3.99766              4.02698            0.0817017
          10              4.38738              4.06302            0.0810919
          11              4.53116              4.10558            0.0841497
          12              3.92148              4.09024            0.0785232
          13              3.89636              4.07532            0.0738856
          14               4.5012              4.10574            0.0746079
          15              4.28722              4.11784            0.0706082
          16              4.36008              4.13298             0.067799
          17              4.18006              4.13575            0.0638673
          18              4.04308               4.1306            0.0605263
          19               4.1269              4.13041             0.057341
          20              4.02334              4.12505            0.0547233
          21              3.72244              4.10588            0.0553741
          22                4.346               4.1168             0.053922
          23              4.23352              4.12187            0.0518158
          24               4.0846              4.12032            0.0496801
          25              4.13092              4.12074            0.0476947
          26               4.2847              4.12705            0.0462753
          27               4.1563              4.12813            0.0445741
          28              4.02114              4.12431            0.0431456
          29              4.10524              4.12365            0.0416629
          30              3.98522              4.11904            0.0405288
