#   N_BLOCK:  ACCEPTANCE:
           1     0.328448
           2     0.328498
           3     0.328419
           4     0.328512
           5     0.328678
           6     0.328782
           7     0.328838
           8     0.328897
           9     0.328839
          10     0.328885
          11     0.328915
          12     0.328971
          13     0.329082
          14     0.329145
          15     0.329117
          16     0.329047
          17     0.329095
          18     0.329088
          19     0.329141
          20     0.329168
          21     0.329121
          22     0.329102
          23     0.329076
          24     0.329067
          25     0.329056
          26     0.329078
          27     0.329056
          28     0.329098
          29     0.329087
          30     0.329077
