#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.494124            -0.494124                    0
           2            -0.494083            -0.494104           1.4425e-05
           3            -0.494652            -0.494286          0.000149565
           4            -0.493696            -0.494139          0.000170066
           5            -0.494528            -0.494217          0.000152832
           6            -0.494482            -0.494261          0.000133587
           7            -0.493798            -0.494195          0.000129862
           8             -0.49423            -0.494199          0.000113703
           9             -0.49433            -0.494214          0.000101991
          10            -0.493806            -0.494173          9.96157e-05
          11            -0.495217            -0.494268          0.000128028
          12            -0.494518            -0.494288          0.000119041
          13            -0.493209            -0.494205            0.0001358
          14            -0.494482            -0.494225          0.000127533
          15            -0.494636            -0.494253          0.000121936
          16            -0.494238            -0.494252          0.000114318
          17            -0.494586            -0.494271          0.000109276
          18            -0.495247            -0.494326          0.000115876
          19            -0.494462            -0.494333          0.000110001
          20            -0.494164            -0.494324          0.000104824
          21            -0.493561            -0.494288           0.00010595
          22             -0.49485            -0.494314          0.000104173
          23             -0.49396            -0.494298          0.000100772
          24            -0.493616             -0.49427          0.000100501
          25            -0.495562            -0.494321          0.000108959
          26            -0.493934            -0.494307           0.00010578
          27            -0.494543            -0.494315          0.000102225
          28            -0.494892            -0.494336          0.000100628
          29            -0.494774            -0.494351          9.82873e-05
          30            -0.493774            -0.494332          9.68772e-05
