#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              86.9623              86.9623                    0
           2              88.4581              87.7102              0.52885
           3               86.938              87.4528             0.410456
           4              87.1442              87.3757             0.315011
           5              87.2016              87.3408             0.253925
           6              87.3391              87.3406             0.211604
           7              88.2074              87.4644             0.214571
           8              87.8635              87.5143             0.193461
           9              87.6078              87.5247             0.172244
          10              88.0761              87.5798             0.163608
          11              88.4115              87.6554             0.165283
          12                87.41               87.635             0.152769
          13              87.9738               87.661             0.143224
          14              87.1409              87.6239             0.137728
          15              88.3651              87.6733             0.137124
          16               86.906              87.6253             0.136682
          17              88.3437              87.6676             0.135017
          18              88.5738              87.7179             0.136581
          19              88.1644              87.7414             0.131398
          20              86.8243              87.6956             0.132588
          21              86.7082              87.6486             0.134352
          22              87.9989              87.6645             0.129185
          23              87.4046              87.6532             0.124062
          24              87.6668              87.6538             0.118894
          25              87.4008              87.6436             0.114568
          26              87.0479              87.6207             0.112429
          27              86.8481              87.5921             0.111848
          28              88.6011              87.6281             0.113511
          29              86.9847               87.606             0.111744
          30              87.2011              87.5925             0.108831
