#   N_BLOCK:  ACCEPTANCE:
           1     0.488595
           2     0.488334
           3     0.488363
           4     0.488305
           5     0.488301
           6     0.488209
           7      0.48819
           8     0.488159
           9     0.488036
          10     0.488039
          11     0.488013
          12     0.488027
          13     0.488014
          14     0.487987
          15     0.488003
          16     0.487987
          17     0.487994
          18     0.488028
          19     0.488069
          20      0.48808
          21     0.488105
          22     0.488058
          23      0.48804
          24     0.488058
          25     0.488072
          26     0.488098
          27     0.488096
          28     0.488089
          29     0.488071
          30     0.488085
