#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1              -0.5118              -0.5118                    0
           2             -0.51255            -0.512175          0.000265306
           3            -0.511686            -0.512012          0.000221449
           4            -0.511458            -0.511874          0.000204819
           5            -0.511743            -0.511848          0.000165507
           6            -0.512427            -0.511944           0.00016371
           7            -0.512016            -0.511954          0.000140645
           8            -0.512043            -0.511965          0.000123501
           9            -0.512978            -0.512078          0.000152677
          10            -0.511958            -0.512066          0.000137884
          11            -0.511496            -0.512014          0.000134734
          12            -0.511962             -0.51201          0.000123578
          13            -0.511746             -0.51199          0.000115721
          14            -0.512204            -0.512005          0.000108464
          15            -0.512038            -0.512007          0.000101255
          16            -0.512085            -0.512012          9.50434e-05
          17            -0.511614            -0.511989           9.2284e-05
          18            -0.511744            -0.511975          8.81513e-05
          19            -0.511453            -0.511947          8.76906e-05
          20            -0.511912            -0.511946           8.3324e-05
          21            -0.511232            -0.511912           8.6008e-05
          22            -0.512886            -0.511956          9.28109e-05
          23            -0.512456            -0.511978          9.12861e-05
          24            -0.511426            -0.511955           9.0335e-05
          25            -0.511209            -0.511925          9.15166e-05
          26            -0.510665            -0.511876           0.00010001
          27             -0.51173            -0.511871          9.64535e-05
          28            -0.512147            -0.511881          9.35118e-05
          29            -0.512554            -0.511904          9.31269e-05
          30            -0.511188             -0.51188          9.30314e-05
