#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              3902.76              3902.76                    0
           2               3929.3              3916.03              9.38376
           3              4011.94                 3948              26.8424
           4               3822.5              3916.62              33.8162
           5              3873.79              3908.06              28.1169
           6              4173.07              3952.23              46.6345
           7              3839.82              3936.17              42.6478
           8              3971.63               3940.6              37.5466
           9              4093.47              3957.59              37.0179
          10              4089.78              3970.81              35.5983
          11              3855.48              3960.32              33.8707
          12              3914.81              3956.53              31.2598
          13              3940.16              3955.27              28.8806
          14              3945.64              3954.58              26.8258
          15              3965.68              3955.32              25.0476
          16               3998.4              3958.02              23.6264
          17              4109.68              3966.94              23.8618
          18              4060.81              3972.15               23.099
          19              3882.32              3967.42              22.3619
          20              3820.06              3960.06               22.425
          21              3939.51              3959.08              21.3785
          22               3949.5              3958.64              20.4111
          23              4050.14              3962.62              19.9076
          24              4026.28              3965.27               19.254
          25              3868.12              3961.39              18.8719
          26              4112.68               3967.2               19.022
          27              4011.03              3968.83              18.3866
          28              4064.44              3972.24              18.0443
          29              3998.98              3973.16              17.4456
          30              3994.41              3973.87              16.8784
