#   N_BLOCK:  ACCEPTANCE:
           1      0.25455
           2     0.254387
           3     0.254264
           4     0.254253
           5     0.254226
           6     0.254284
           7     0.254352
           8     0.254316
           9     0.254291
          10      0.25431
          11     0.254304
          12     0.254312
          13     0.254262
          14     0.254257
          15       0.2542
          16     0.254143
          17     0.254155
          18     0.254161
          19     0.254188
          20     0.254211
          21     0.254151
          22     0.254187
          23     0.254166
          24      0.25417
          25     0.254175
          26       0.2542
          27     0.254217
          28     0.254299
          29     0.254274
          30      0.25426
