#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              333.531              333.531                    0
           2              327.901              330.716               1.9904
           3              330.395              330.609              1.32982
           4              327.111              329.734               1.2523
           5              333.179              330.423              1.17619
           6              323.816              329.322              1.40408
           7              329.146              329.297              1.20372
           8              331.188              329.533              1.07621
           9              334.588              330.095              1.09342
          10              325.444               329.63              1.07846
          11              335.262              330.142              1.09523
          12              329.512              330.089              1.00522
          13              324.687              329.674              1.01014
          14               328.03              329.556              0.94479
          15              330.912              329.647             0.886113
          16              329.534               329.64             0.830759
          17              335.678              329.995              0.85445
          18              342.342              330.681              1.04671
          19              329.633              330.626              0.99307
          20               327.31               330.46             0.957153
          21              333.511              330.605             0.922533
          22              332.546              330.693             0.884808
          23               336.74              330.956             0.884535
          24              325.095              330.712             0.880748
          25               327.74              330.593             0.853505
          26              332.116              330.652             0.822684
          27               330.08              330.631             0.792487
          28              323.024              330.359             0.809407
          29              334.954              330.517             0.796853
          30              331.418              330.547             0.770858
