#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              19.1769              19.1769                    0
           2              19.2204              19.1987            0.0153473
           3              19.4045              19.2673            0.0569484
           4              19.1717              19.2434            0.0474589
           5              19.0399              19.2027            0.0525986
           6              19.1763              19.1983            0.0440154
           7              19.0899              19.1828            0.0403566
           8               19.111              19.1738            0.0362973
           9              19.0549              19.1606            0.0345864
          10              19.1684              19.1614            0.0311365
          11              19.3494              19.1785             0.032662
          12              19.2881              19.1876            0.0311909
          13              19.2765              19.1945            0.0295316
          14              19.1287              19.1898            0.0277929
          15              19.1735              19.1887            0.0259613
          16              19.0313              19.1788            0.0261348
          17              19.3521               19.189              0.02651
          18              19.1408              19.1863            0.0251725
          19              19.2004              19.1871            0.0238584
          20               18.985               19.177            0.0247131
          21              19.3786              19.1866             0.025332
          22              19.0008              19.1781            0.0255498
          23              19.2884              19.1829            0.0248843
          24              19.0934              19.1792            0.0241257
          25              19.3123              19.1845            0.0237411
          26              19.0922               19.181            0.0230919
          27              19.0719              19.1769             0.022587
          28              19.1703              19.1767            0.0217816
          29               19.107              19.1743            0.0211625
          30              19.2157              19.1757             0.020502
