#   N_BLOCK:  ACCEPTANCE:
           1     0.300164
           2     0.300272
           3     0.300153
           4     0.300016
           5     0.300006
           6     0.300182
           7     0.300216
           8     0.300215
           9      0.30023
          10     0.300303
          11      0.30037
          12      0.30043
          13     0.300394
          14     0.300411
          15     0.300358
          16      0.30028
          17     0.300263
          18     0.300287
          19      0.30035
          20     0.300376
          21     0.300351
          22     0.300324
          23     0.300315
          24     0.300311
          25      0.30031
          26     0.300345
          27      0.30036
          28     0.300405
          29     0.300372
          30     0.300374
