#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              9.78853              9.78853                    0
           2              9.83508              9.81181            0.0164558
           3              9.85725              9.82695            0.0165328
           4              9.82043              9.82532            0.0124798
           5              9.84998              9.83025            0.0109145
           6              9.79622              9.82458            0.0104664
           7               9.7945              9.82028           0.00981358
           8              9.83859              9.82257           0.00884973
           9              9.82374               9.8227           0.00786737
          10               9.8175              9.82218            0.0070978
          11              9.85712              9.82536           0.00712774
          12              9.82548              9.82537           0.00653376
          13              9.82568              9.82539           0.00603121
          14              9.78618              9.82259            0.0062167
          15              9.81574              9.82213           0.00581902
          16              9.81564              9.82173           0.00546946
          17              9.84159               9.8229           0.00527098
          18              9.84612              9.82419           0.00513369
          19              9.88457              9.82736           0.00576385
          20              9.82698              9.82735           0.00547569
          21              9.87739              9.82973           0.00570993
          22              9.80467              9.82859           0.00556283
          23              9.87933               9.8308           0.00574183
          24              9.83176              9.83084           0.00550273
          25              9.85642              9.83186           0.00537696
          26              9.79405              9.83041           0.00536319
          27                9.844              9.83091           0.00518813
          28              9.85294               9.8317           0.00506213
          29              9.84177              9.83204           0.00489949
          30              9.86172              9.83303           0.00483501
