#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.31036              1.31036                    0
           2              1.44926              1.37981            0.0491086
           3               1.3039              1.35451            0.0387128
           4              1.36128               1.3562            0.0290716
           5              1.36184              1.35733            0.0232792
           6              1.40168              1.36472            0.0205394
           7              1.37572              1.36629            0.0176652
           8               1.3458              1.36373            0.0156417
           9              1.25564              1.35172            0.0179312
          10              1.38342              1.35489            0.0164159
          11              1.37532              1.35675            0.0150282
          12              1.32314              1.35395            0.0140344
          13              1.50494              1.36556            0.0170984
          14              1.45596              1.37202            0.0170528
          15               1.2724              1.36538            0.0171605
          16              1.41434              1.36844            0.0163585
          17              1.40672              1.37069            0.0155505
          18              1.29878              1.36669            0.0151911
          19              1.24292              1.36018            0.0157264
          20               1.4292              1.36363            0.0153141
          21              1.45754               1.3681            0.0152238
          22              1.41864               1.3704            0.0147041
          23              1.27452              1.36623            0.0146438
          24              1.30032              1.36349            0.0142888
          25              1.22222              1.35783            0.0147924
          26              1.39424              1.35923            0.0142896
          27              1.22992              1.35445            0.0145408
          28              1.37564               1.3552            0.0140412
          29              1.32928              1.35431            0.0135854
          30              1.26742              1.35141            0.0134378
