#   N_BLOCK:  ACCEPTANCE:
           1     0.537684
           2     0.537625
           3     0.537686
           4     0.537769
           5     0.537757
           6     0.537721
           7     0.537678
           8     0.537733
           9       0.5377
          10     0.537759
          11     0.537752
          12     0.537766
          13     0.537771
          14     0.537729
          15     0.537736
          16     0.537721
          17     0.537695
          18     0.537732
          19     0.537764
          20      0.53777
          21     0.537802
          22     0.537783
          23     0.537778
          24     0.537784
          25     0.537763
          26     0.537774
          27      0.53776
          28     0.537774
          29      0.53778
          30       0.5378
