#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              185.438              185.438                    0
           2              191.837              188.637              2.26232
           3              187.784              188.353                1.526
           4              189.992              188.763              1.19826
           5              191.955              189.401              1.11582
           6              189.711              189.453             0.931045
           7              190.338              189.579              0.80659
           8              191.958              189.877             0.758581
           9               189.29              189.811             0.677087
          10              189.536              189.784             0.609938
          11              189.697              189.776              0.55454
          12              187.559              189.591             0.538216
          13              192.179               189.79              0.53236
          14              191.686              189.926              0.51127
          15              190.645              189.974             0.479431
          16              188.464              189.879              0.45866
          17              188.836              189.818             0.435765
          18              190.539              189.858             0.413392
          19              191.171              189.927              0.39737
          20              191.932              190.027             0.389944
          21              193.594              190.197             0.406687
          22              188.784              190.133             0.393243
          23              187.506              190.019             0.392383
          24              189.405              189.993             0.376866
          25                192.6              190.098             0.375937
          26               190.89              190.128             0.362712
          27              189.703              190.112              0.34962
          28               194.84              190.281               0.3757
          29              188.998              190.237             0.365342
          30              193.509              190.346             0.369082
