#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              3.91562              3.91562                    0
           2              3.74346              3.82954            0.0608678
           3              3.44198              3.70035             0.113017
           4              3.63608              3.68429            0.0858971
           5              3.47808              3.64304            0.0779922
           6              3.79456               3.6683            0.0689606
           7              4.00512              3.71641            0.0740164
           8              3.79972              3.72683            0.0654928
           9               3.4071               3.6913            0.0671632
          10               3.2749              3.64966            0.0722104
          11               3.6678              3.65131            0.0656647
          12              3.40326              3.63064            0.0633627
          13              3.57028                3.626            0.0586585
          14               4.0143              3.65373            0.0606726
          15              3.52988              3.64548            0.0571868
          16              3.59786               3.6425              0.05369
          17              4.00992              3.66411            0.0547093
          18              3.69372              3.66576            0.0516946
          19              3.87236              3.67663            0.0501044
          20              3.54312              3.66996            0.0480418
          21              3.58004              3.66567            0.0459445
          22              3.76214              3.67006            0.0440649
          23              3.80982              3.67614            0.0425659
          24               3.8625               3.6839            0.0414946
          25              4.19572              3.70437            0.0446002
          26              3.94808              3.71375            0.0438587
          27              3.31998              3.69916            0.0445932
          28               4.1521              3.71534            0.0458408
          29              3.49366               3.7077            0.0448929
          30              3.48266              3.70019            0.0440187
