#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.657493            -0.657493                    0
           2            -0.658501            -0.657997          0.000356382
           3            -0.657545            -0.657846          0.000267547
           4            -0.657791            -0.657832          0.000201013
           5            -0.655982            -0.657462          0.000368069
           6            -0.658107             -0.65757          0.000322038
           7            -0.656381              -0.6574          0.000317681
           8            -0.657776            -0.657447          0.000281428
           9             -0.65803            -0.657512          0.000257518
          10             -0.65801            -0.657562           0.00023653
          11            -0.656928            -0.657504          0.000221928
          12            -0.656486            -0.657419          0.000219035
          13            -0.656098            -0.657318          0.000224514
          14            -0.657696            -0.657345          0.000210099
          15            -0.657648            -0.657365          0.000197064
          16             -0.65704            -0.657344           0.00018579
          17             -0.65716            -0.657334          0.000175178
          18            -0.657614            -0.657349          0.000166139
          19            -0.656264            -0.657292          0.000166924
          20            -0.656288            -0.657242          0.000165957
          21            -0.656546            -0.657209          0.000161333
          22            -0.657169            -0.657207           0.00015401
          23            -0.656646            -0.657183          0.000149235
          24            -0.656462            -0.657152          0.000146009
          25            -0.657802            -0.657178          0.000142464
          26             -0.65691            -0.657168          0.000137357
          27            -0.656059            -0.657127          0.000138275
          28            -0.657521            -0.657141          0.000134049
          29            -0.655893            -0.657098          0.000136163
          30            -0.657915            -0.657125          0.000134321
