#   N_BLOCK:  ACCEPTANCE:
           1     0.238074
           2     0.238045
           3     0.237977
           4     0.237986
           5     0.238028
           6     0.238047
           7     0.238092
           8     0.238126
           9     0.238125
          10     0.238149
          11     0.238205
          12     0.238223
          13     0.238155
          14     0.238193
          15     0.238202
          16     0.238173
          17     0.238236
          18     0.238229
          19     0.238251
          20     0.238265
          21     0.238264
          22     0.238275
          23     0.238259
          24     0.238254
          25     0.238264
          26     0.238288
          27     0.238294
          28      0.23834
          29     0.238326
          30     0.238281
