     MU:      SIGMA:     E_MEASURED:    ERROR:
    0.067482      0.7044    0.055807   0.0074456
     0.16859       1.003     -0.2582   0.0061116
     0.33865      1.0432    -0.22137    0.010666
     0.27163     0.84499    -0.20045   0.0055554
     0.49667     0.73077    -0.25668   0.0039578
     0.62473     0.96039     -0.1851    0.013866
     0.72924     0.93409     -0.1122    0.015882
     0.98002      1.0152     0.68992     0.03244
     0.92491     0.74527     -0.2382   0.0096187
      1.0246     0.52894    -0.17353   0.0044085
     0.75023     0.80841    -0.30591   0.0093805
     0.83558     0.99469     0.10664    0.023359
     0.69515     0.84567    -0.28192   0.0095381
      0.7514     0.60636    -0.43718    0.002232
      0.7514     0.60636    -0.43718    0.002232
      0.7514     0.60636    -0.43718    0.002232
     0.80218      0.8468    -0.19489    0.016531
     0.80218      0.8468    -0.19489    0.016531
     0.59336      1.0627   -0.056072    0.023846
     0.59336      1.0627   -0.056072    0.023846
      0.4613      1.1097   -0.085941    0.021439
     0.73134      1.1159     0.25422    0.032655
     0.63125      1.2308     0.53376     0.04761
     0.63125      1.2308     0.53376     0.04761
     0.63125      1.2308     0.53376     0.04761
     0.40078      1.3059     0.39108    0.035127
     0.40078      1.3059     0.39108    0.035127
     0.67143      1.1214     0.20495    0.026801
      0.4336       1.285     0.46485    0.045333
     0.19178      1.4167     0.67202    0.052391
     0.19785      1.3464     0.44775    0.046868
     0.44835      1.1878     0.11318    0.032291
     0.35497      1.1129    -0.14758    0.016704
     0.64652     0.95709    -0.15836    0.017468
     0.89072     0.76715       -0.25    0.010468
      0.6484      1.0452    0.016082    0.022672
     0.85169      1.0836     0.49022      0.0351
     0.76331      1.1954      0.6441    0.042114
     0.86706      1.1043     0.66526    0.046942
     0.61132      1.3936      1.2416    0.078626
     0.61132      1.3936      1.2416    0.078626
     0.61132      1.3936      1.2416    0.078626
     0.47292      1.1627    0.087639      0.0259
     0.22177     0.94553    -0.24751   0.0064345
     0.25648     0.72793    -0.06602   0.0054655
     0.25648     0.72793    -0.06602   0.0054655
      0.1742     0.88197    -0.21528   0.0048974
    0.033695     0.98161    -0.26422   0.0042522
      0.1165     0.82899    -0.14844   0.0051847
     0.28136     0.82514    -0.19027   0.0045735
    0.086436      1.0271    -0.26215   0.0060346
    -0.09794     0.89662    -0.21658   0.0053549
   -0.016604     0.83156      -0.139   0.0050855
    -0.13269      1.1176    -0.17639    0.013376
     -0.1244      1.1763    -0.10987    0.016898
    -0.32937     0.94665    -0.23699    0.010219
    -0.54063      0.8902    -0.27578   0.0083827
     -0.2906     0.88715    -0.24023   0.0043158
    -0.17752      0.6671     0.11411   0.0072887
    -0.31712     0.74377    -0.12806    0.005177
    -0.23898      0.7464   -0.076165   0.0054548
   -0.039978     0.90973    -0.21353   0.0064768
   -0.022907      1.0483    -0.24584   0.0082871
    0.010496     0.80942    -0.12266   0.0059568
    -0.19111       0.896    -0.22665   0.0051991
     -0.1658      1.0137    -0.25396   0.0081205
    -0.32387     0.84789    -0.22686   0.0046365
    -0.39882      1.0203    -0.20872    0.012124
    -0.55288     0.81181     -0.2934   0.0048751
    -0.52605     0.75923    -0.28167   0.0037268
    -0.59075     0.95169    -0.18049    0.013409
    -0.36126      1.1392      -0.084    0.019719
    -0.19159      1.0426     -0.2322    0.011678
    -0.34809      1.1406    -0.11078    0.017258
    -0.28503      1.1174    -0.18941    0.012757
    -0.11142     0.86306    -0.19207   0.0054742
   -0.063534     0.94996    -0.23004   0.0065097
    -0.18987     0.73577   -0.040456   0.0065524
    -0.41981     0.75907    -0.20309    0.004164
    -0.17488     0.66819    0.092718   0.0069822
    0.085011     0.49908     0.71374    0.014431
    0.085011     0.49908     0.71374    0.014431
    0.085011     0.49908     0.71374    0.014431
      0.2575     0.54138     0.31313   0.0085675
  -0.0038336     0.81051    -0.11975   0.0056975
    -0.27155     0.54995     0.29706   0.0085057
    -0.43099     0.63586    -0.11762   0.0048794
    -0.39621     0.55125    0.054379    0.005696
    -0.39621     0.55125    0.054379    0.005696
      -0.434      0.5725   -0.041933   0.0048267
    -0.71865     0.54234    -0.37433   0.0039436
    -0.71865     0.54234    -0.37433   0.0039436
    -0.71865     0.54234    -0.37433   0.0039436
     -1.0152     0.60916    -0.25359   0.0067765
     -1.0152     0.60916    -0.25359   0.0067765
     -1.0152     0.60916    -0.25359   0.0067765
    -0.97108     0.62347    -0.32016   0.0063946
    -0.84041     0.63023    -0.43138   0.0033835
    -0.68697     0.80846    -0.31444   0.0085913
     -0.5573     0.73533    -0.29041   0.0041766
    -0.72076      1.0304    0.063044    0.025676
    -0.61862     0.83636    -0.27804   0.0081227
    -0.51318     0.69998     -0.2587   0.0043287
     -0.5215     0.65749    -0.23717   0.0044059
    -0.26926     0.80213    -0.16141   0.0056587
    -0.36353     0.74499     -0.1537   0.0051046
    -0.29714     0.77253    -0.14952   0.0053842
    -0.42696     0.65602    -0.11777   0.0052406
    -0.32519     0.44785     0.41754    0.009523
   -0.054169     0.61143     0.30754   0.0082452
  -0.0099163     0.53474     0.59151       0.011
    -0.30849     0.49353     0.34063   0.0087537
    -0.30025      0.4887     0.39015   0.0094333
    -0.30025      0.4887     0.39015   0.0094333
    -0.30025      0.4887     0.39015   0.0094333
    -0.35483     0.52097     0.21177   0.0066981
    -0.35483     0.52097     0.21177   0.0066981
    -0.22261     0.56349     0.31307    0.008464
    -0.17449     0.77916   -0.092453   0.0048621
   -0.038982       1.023    -0.24998   0.0073795
    0.050422      1.2145   -0.045055    0.020213
     0.09117       1.102    -0.21419    0.011289
     0.17933      1.2176   -0.019913    0.021838
     0.45475     0.96072    -0.25234    0.010554
     0.45475     0.96072    -0.25234    0.010554
     0.16381      1.0848    -0.21603    0.013127
   -0.036118     0.95115     -0.2335   0.0063349
    -0.20624      1.1198     -0.1629    0.016299
   -0.034651      1.2696     0.12907    0.034346
    -0.29205      1.1477    -0.12315    0.018573
    -0.29205      1.1477    -0.12315    0.018573
    -0.49798     0.92141    -0.25878   0.0084073
     -0.5407     0.63392    -0.25547   0.0042664
    -0.50779     0.70208    -0.23913   0.0041721
    -0.32037     0.46762     0.37872   0.0083664
    -0.11918     0.71694     0.01818   0.0067068
     -0.2272     0.48128     0.56589    0.010564
    -0.24684     0.69886   -0.014581   0.0061332
    -0.24684     0.69886   -0.014581   0.0061332
    -0.51807     0.40553     0.11162    0.010129
    -0.51807     0.40553     0.11162    0.010129
    -0.69379     0.41056     0.16807    0.012351
    -0.50418     0.52061    -0.10198   0.0051786
    -0.37646     0.64081   -0.042702   0.0057498
    -0.37646     0.64081   -0.042702   0.0057498
     -0.1135     0.65538        0.15    0.007542
      0.1492     0.84147    -0.16893   0.0050767
     0.25302     0.73495   -0.069105   0.0058264
     0.25302     0.73495   -0.069105   0.0058264
     0.15069     0.69838    0.033924   0.0065432
     0.34269     0.92361    -0.24222   0.0067039
     0.49377      1.0642    -0.13709    0.016157
     0.49377      1.0642    -0.13709    0.016157
      0.5794      1.0559    -0.10071    0.017451
     0.73035      0.8863    -0.20364    0.011876
     0.46906     0.60948    -0.13242   0.0049169
     0.41092     0.48509     0.10582   0.0061496
      0.3987     0.50121     0.13433   0.0065452
     0.57841     0.44968   -0.088577   0.0074007
     0.57841     0.44968   -0.088577   0.0074007
     0.32554      0.6794   -0.047453   0.0061091
     0.51849       0.405     0.13117   0.0093475
     0.31569     0.36853     0.66359   0.0096674
     0.31569     0.36853     0.66359   0.0096674
     0.31569     0.36853     0.66359   0.0096674
     0.54574     0.48809    -0.13305   0.0057748
      0.2935     0.76158    -0.13629   0.0050103
     0.27737     0.92147     -0.2491   0.0046709
      0.1341      1.0348    -0.23194    0.011572
      0.1341      1.0348    -0.23194    0.011572
     0.21194     0.93011    -0.23214    0.006375
     0.44909       1.036    -0.18151     0.01264
     0.66965      1.2352     0.65336    0.043632
     0.52143      1.1208    0.036929    0.024721
     0.62895      1.2793     0.69294    0.044563
     0.62895      1.2793     0.69294    0.044563
     0.62895      1.2793     0.69294    0.044563
     0.74192      1.2633     0.93265    0.062831
     0.74192      1.2633     0.93265    0.062831
     0.54808      1.4798       1.668     0.07193
     0.44584      1.4707       1.376    0.077993
     0.18628      1.5152      1.1997    0.057947
     0.18628      1.5152      1.1997    0.057947
     0.30939      1.3684     0.63228    0.045306
      0.4832      1.1755    0.069924    0.023753
      0.4832      1.1755    0.069924    0.023753
     0.20159      1.1697    -0.09947    0.018858
     0.20159      1.1697    -0.09947    0.018858
     0.28389      1.1284    -0.11297    0.018266
     0.13786      1.2714    0.088468    0.025075
   -0.056616      1.2702     0.11371    0.028313
    0.025115      1.5071      1.0237    0.058275
    0.025115      1.5071      1.0237    0.058275
    0.025115      1.5071      1.0237    0.058275
     0.23365      1.5613      1.6342    0.081687
     0.30158      1.4646     0.90339     0.05852
    0.041401      1.5055      1.1872    0.088674
   -0.035312      1.3762     0.42785    0.034721
     -0.2986      1.3793     0.58046    0.039481
     -0.2986      1.3793     0.58046    0.039481
     -0.2986      1.3793     0.58046    0.039481
    -0.11975      1.2217   -0.026213    0.028196
    -0.30425      1.1242    -0.11136    0.018275
    -0.13852     0.91903    -0.23325   0.0060403
    -0.12215     0.98657    -0.25537   0.0051445
    0.048234     0.90012    -0.20861    0.005543
    -0.18766      1.0844    -0.18171    0.016133
    -0.18766      1.0844    -0.18171    0.016133
    -0.18766      1.0844    -0.18171    0.016133
    -0.18766      1.0844    -0.18171    0.016133
    -0.18766      1.0844    -0.18171    0.016133
    -0.18766      1.0844    -0.18171    0.016133
    -0.15501      1.3039     0.20575     0.03057
    -0.15501      1.3039     0.20575     0.03057
    -0.10981      1.2261    0.037774    0.030421
   -0.095093      1.0314    -0.24473   0.0085719
   -0.095093      1.0314    -0.24473   0.0085719
    0.047925     0.75196   -0.025535   0.0056859
     0.21154     0.71307   -0.016867   0.0073679
   -0.020109     0.65243     0.19643   0.0073594
     0.23152     0.40798      0.8243    0.012858
      0.5092     0.32828     0.80907    0.020664
      0.5092     0.32828     0.80907    0.020664
      0.5092     0.32828     0.80907    0.020664
     0.68248     0.41798    0.074965    0.013094
     0.70239     0.47646    -0.20769   0.0078065
     0.70239     0.47646    -0.20769   0.0078065
     0.70239     0.47646    -0.20769   0.0078065
     0.63498     0.41648    0.078839    0.011062
     0.63498     0.41648    0.078839    0.011062
     0.77758     0.71477    -0.39087   0.0051621
     0.77758     0.71477    -0.39087   0.0051621
     0.93411     0.86473    0.016956    0.019894
     0.93411     0.86473    0.016956    0.019894
     0.92468      0.9606     0.24958    0.028682
     0.64439     0.67764     -0.3675    0.002905
     0.69444     0.47713     -0.2184   0.0072779
     0.69444     0.47713     -0.2184   0.0072779
     0.41136     0.67281    -0.12601   0.0054611
     0.29751     0.76265    -0.13608   0.0061864
     0.13291     0.76102    -0.07509   0.0061243
     0.13291     0.76102    -0.07509   0.0061243
     0.13291     0.76102    -0.07509   0.0061243
     0.13291     0.76102    -0.07509   0.0061243
     0.13291     0.76102    -0.07509   0.0061243
    0.015881     0.66508     0.16542   0.0085443
     0.26113     0.90733    -0.24063   0.0062319
     0.26113     0.90733    -0.24063   0.0062319
     0.49558     0.68089    -0.23013   0.0043707
     0.24468     0.88633     -0.2351   0.0048297
    0.015191     0.90591    -0.21041   0.0048568
    0.068307     0.89556    -0.21111   0.0051377
    0.068307     0.89556    -0.21111   0.0051377
    -0.22932      1.1473    -0.10187    0.017791
    -0.49932      0.9261    -0.25469   0.0086455
    -0.30792     0.72454   -0.086359   0.0061166
    -0.60771     0.84386     -0.2938   0.0065364
    -0.63539     0.66526    -0.35813   0.0030091
    -0.43278      0.7784    -0.23189   0.0051994
    -0.66506      1.0265  -0.0082135    0.022731
    -0.59755     0.96316    -0.14806    0.015494
    -0.59755     0.96316    -0.14806    0.015494
    -0.68707     0.86188    -0.25812    0.011532
    -0.46518     0.57985    -0.10523   0.0053073
    -0.46518     0.57985    -0.10523   0.0053073
    -0.46518     0.57985    -0.10523   0.0053073
    -0.53947     0.80915    -0.29563   0.0042705
    -0.78088      0.6259    -0.44023   0.0026735
    -0.52523     0.55371    -0.17331   0.0043585
    -0.53709     0.29509      1.6013    0.027643
    -0.38133     0.26936      1.4819    0.030798
    -0.38133     0.26936      1.4819    0.030798
    -0.38133     0.26936      1.4819    0.030798
    -0.38133     0.26936      1.4819    0.030798
    -0.38133     0.26936      1.4819    0.030798
    -0.43069     0.51868    0.032395   0.0058445
    -0.19683     0.77682   -0.099788   0.0057198
    -0.12695     0.92348    -0.23468   0.0057906
    -0.27684      1.1164    -0.14876    0.014259
    -0.27684      1.1164    -0.14876    0.014259
    -0.10864      1.3924     0.53949    0.045684
   -0.014059      1.4609     0.77862    0.048167
   -0.014059      1.4609     0.77862    0.048167
   -0.014059      1.4609     0.77862    0.048167
     0.25004      1.4212      0.7493    0.054885
    0.017389      1.3999     0.60954    0.045499
    -0.25126      1.3528     0.38838    0.032165
    -0.18627      1.4818     0.95104    0.057889
   -0.077359      1.2024    -0.05269    0.021038
   -0.024382      0.9249    -0.23036   0.0047909
     0.20536     0.69549    0.029064    0.007558
     0.50067     0.96255     -0.2409   0.0086847
     0.50067     0.96255     -0.2409   0.0086847
     0.50067     0.96255     -0.2409   0.0086847
     0.50067     0.96255     -0.2409   0.0086847
      0.3933      1.2066    0.070713    0.024936
     0.45903      1.3607     0.70727    0.048557
     0.45903      1.3607     0.70727    0.048557
     0.45903      1.3607     0.70727    0.048557
     0.54174      1.5345      2.1637    0.096283
     0.37364      1.4706      1.3493    0.083271
     0.37364      1.4706      1.3493    0.083271
     0.63115      1.5569      2.4485     0.11379
     0.74281       1.346      1.4003     0.07358
     0.82082      1.0686     0.42181    0.040359
     0.75988       1.184     0.67053    0.055888
     0.70376      1.3246      1.2092    0.069267
     0.78066      1.2765      1.1162    0.066164
     0.81446      1.0928     0.44281    0.036461
      1.0076     0.82011     0.09601    0.024489
      1.0582      1.1051      1.5809    0.067824
     0.90676      1.3119      2.1313      0.1087
     0.90676      1.3119      2.1313      0.1087
     0.83755      1.1423     0.63398    0.046276
     0.83755      1.1423     0.63398    0.046276
     0.93382      1.3757      2.6242     0.11716
     0.95367      1.1736      1.2409    0.059468
     0.95367      1.1736      1.2409    0.059468
     0.95367      1.1736      1.2409    0.059468
      1.0188      1.2219      1.9862    0.073203
      1.1709      1.0119      1.6501    0.056705
      1.1709      1.0119      1.6501    0.056705
     0.91946      1.0932     0.78317    0.044835
     0.73616      1.3073      1.0665    0.066226
     0.44555      1.3501     0.63517    0.061735
     0.44555      1.3501     0.63517    0.061735
     0.30062      1.3666     0.56963    0.046178
     0.30062      1.3666     0.56963    0.046178
     0.12838      1.3368     0.37178    0.041411
     0.21421      1.0582    -0.22712    0.011363
   -0.050438     0.97009    -0.23405   0.0065164
    -0.26335     0.87277     -0.2283   0.0050804
    0.001967        1.17   -0.099737    0.020644
     0.13797     0.95654    -0.23693   0.0066984
     0.39303     0.77959    -0.21288   0.0044647
     0.53102     0.76633    -0.29075   0.0042738
     0.53102     0.76633    -0.29075   0.0042738
     0.41313     0.94426    -0.26032   0.0082508
     0.58569      0.9605    -0.20277    0.012807
     0.68376      0.9702    -0.14267    0.015369
     0.68376      0.9702    -0.14267    0.015369
     0.68376      0.9702    -0.14267    0.015369
     0.69199     0.81313    -0.32222   0.0070898
