#   N_BLOCK:  ACCEPTANCE:
           1    0.0561709
           2    0.0555871
           3    0.0552158
           4    0.0553944
           5    0.0554779
           6    0.0553413
           7    0.0552992
           8     0.055483
           9    0.0553424
          10    0.0553284
          11    0.0552151
          12    0.0551299
          13    0.0549517
          14    0.0549948
          15    0.0548866
          16    0.0548929
          17    0.0548059
          18    0.0547834
          19    0.0547643
          20    0.0547777
          21    0.0546914
          22    0.0547927
          23    0.0548285
          24    0.0548357
          25    0.0548852
          26    0.0548242
          27     0.054961
          28    0.0549734
          29    0.0549648
          30    0.0550489
