#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.0282              21.0282                    0
           2              20.8953              20.9617            0.0469934
           3              21.0221              20.9819            0.0353798
           4               20.599              20.8862            0.0870419
           5              20.8294              20.8748            0.0703698
           6              20.8629              20.8728            0.0586693
           7               20.387              20.8034            0.0815984
           8              21.1065              20.8413            0.0797117
           9              20.4295              20.7955            0.0829567
          10              21.0624              20.8222            0.0788369
          11              20.8568              20.8254            0.0717323
          12              20.3986              20.7898            0.0740477
          13              20.9173              20.7996            0.0689981
          14              20.0994              20.7496            0.0801735
          15              20.4304              20.7283            0.0776018
          16              20.4919              20.7135            0.0741446
          17              21.0847              20.7354             0.072926
          18               20.897              20.7443            0.0694249
          19              20.5287               20.733            0.0666919
          20              21.1604              20.7544            0.0666934
          21              20.1717              20.7266            0.0690474
          22              20.4649              20.7147             0.066926
          23              20.6739               20.713            0.0640398
          24              20.4121              20.7004            0.0625864
          25              21.7505              20.7424            0.0728272
          26              20.7248              20.7417            0.0700293
          27              20.7193              20.7409            0.0674406
          28              20.5966              20.7358            0.0652287
          29              20.7395              20.7359            0.0629796
          30              21.2737              20.7538            0.0633804
