#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.795555            -0.795555                    0
           2            -0.793876            -0.794716          0.000593687
           3            -0.793094            -0.794175            0.0005929
           4            -0.794783            -0.794327          0.000463767
           5            -0.794298            -0.794321          0.000371048
           6            -0.794634            -0.794373          0.000312855
           7            -0.793995            -0.794319          0.000272789
           8            -0.795957            -0.794524          0.000305985
           9            -0.795568             -0.79464          0.000293148
          10            -0.794346            -0.794611            0.0002653
          11            -0.794758            -0.794624          0.000241521
          12             -0.79481             -0.79464          0.000221888
          13            -0.794043            -0.794594          0.000209509
          14            -0.794462            -0.794584          0.000194754
          15            -0.795127            -0.794621          0.000185102
          16            -0.795183            -0.794656          0.000176843
          17            -0.794754            -0.794662          0.000166535
          18            -0.793955            -0.794622           0.00016184
          19            -0.794931            -0.794639          0.000154137
          20            -0.794359            -0.794625          0.000147061
          21            -0.795474            -0.794665           0.00014551
          22            -0.794767             -0.79467           0.00013897
          23            -0.793599            -0.794623          0.000140505
          24            -0.795017            -0.794639          0.000135605
          25            -0.794442            -0.794632           0.00013041
          26            -0.793257            -0.794579          0.000135691
          27            -0.793346            -0.794533          0.000138129
          28             -0.79311            -0.794482          0.000142244
          29            -0.794546            -0.794484          0.000137356
          30            -0.795014            -0.794502          0.000133909
