#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.6784              21.6784                    0
           2              21.7266              21.7025            0.0170423
           3              21.6017              21.6689            0.0297005
           4              21.7861              21.6982            0.0337631
           5              21.9362              21.7458            0.0504173
           6              21.7946               21.754            0.0426659
           7              21.4316              21.7079            0.0561748
           8              21.5728               21.691            0.0516302
           9              21.7332              21.6957            0.0461061
          10              21.4139              21.6675            0.0493614
          11              22.0449              21.7018             0.055529
          12              21.6446              21.6971             0.051106
          13              21.7149              21.6984            0.0471932
          14              21.5154              21.6854            0.0455979
          15              21.9326              21.7018            0.0454404
          16              21.5752              21.6939            0.0432843
          17              21.5986              21.6883            0.0410999
          18              21.6183              21.6844            0.0390001
          19              21.7853              21.6897            0.0373073
          20              21.5139              21.6809            0.0364637
          21              21.4453              21.6697            0.0364127
          22              21.2873              21.6523            0.0386855
          23              21.7488              21.6565              0.03723
          24              21.8697              21.6654            0.0367232
          25              21.4873              21.6583            0.0359388
          26               21.704                21.66            0.0345995
          27              21.7575              21.6637            0.0335057
          28              21.6429              21.6629            0.0323173
          29              21.5196               21.658            0.0315786
          30              21.5133              21.6532            0.0308923
