#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1               491.83               491.83                    0
           2              468.482              480.156              8.25476
           3              457.644              472.652              8.23543
           4              467.522              471.369              6.27562
           5              486.889              474.473              5.73692
           6              474.804              474.528              4.78103
           7              468.634              473.686              4.17151
           8              492.163              475.996              4.24154
           9              472.371              475.593              3.78933
          10              468.584              474.892              3.47461
          11              462.904              473.802              3.32528
          12              466.116              473.162              3.10925
          13              479.257              473.631              2.90522
          14              477.868              473.933              2.71342
          15              477.783               474.19              2.54463
          16              492.409              475.329              2.62805
          17              475.458              475.336              2.47347
          18              464.045              474.709              2.41429
          19              485.171               475.26              2.34917
          20               482.31              475.612              2.25801
          21               470.08              475.349               2.1658
          22              464.068              474.836              2.12718
          23              466.085              474.456              2.06844
          24              473.982              474.436              1.98235
          25              470.543               474.28              1.90916
          26              463.231              473.855              1.88244
          27              471.076              473.752              1.81553
          28              468.506              473.565              1.76033
          29              482.167              473.861              1.72444
          30              472.009                473.8              1.66807
