#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              9.42412              9.42412                    0
           2               9.2482              9.33616            0.0621971
           3              9.02798              9.23343            0.0935655
           4              9.61478              9.32877             0.108357
           5              9.63932              9.39088             0.102959
           6              9.84632              9.46679             0.110286
           7              8.73688              9.36251             0.135113
           8              8.89522               9.3041              0.13024
           9              10.7667              9.46661             0.192034
          10              9.18754               9.4387             0.174847
          11               9.1866              9.41579             0.160447
          12              8.94248              9.37634             0.151847
          13              8.74764              9.32798             0.147667
          14              8.71246              9.28402             0.143515
          15              8.78762              9.25092              0.13771
          16              9.46168              9.26409             0.129732
          17              8.87798              9.24138             0.124073
          18              10.5132              9.31204             0.135816
          19              8.49428                9.269             0.135315
          20              9.12116              9.26161             0.128751
          21               9.3432              9.26549             0.122679
          22              8.96814              9.25198             0.117845
          23               9.4697              9.26144             0.113101
          24              8.80216               9.2423             0.109995
          25              8.17904              9.19977             0.113521
          26              9.02828              9.19318             0.109346
          27              9.81214               9.2161             0.107672
          28              9.32044              9.21983             0.103891
          29               9.4251              9.22691              0.10055
          30               9.1451              9.22418            0.0972349
