#   N_BLOCK:  ACCEPTANCE:
           1     0.205022
           2     0.205261
           3     0.205564
           4     0.205554
           5     0.205545
           6     0.205537
           7     0.205623
           8     0.205512
           9     0.205388
          10     0.205411
          11      0.20538
          12     0.205383
          13      0.20541
          14     0.205424
          15      0.20542
          16     0.205373
          17     0.205361
          18       0.2054
          19     0.205397
          20     0.205406
          21     0.205366
          22     0.205359
          23     0.205388
          24     0.205366
          25     0.205369
          26     0.205413
          27     0.205447
          28     0.205493
          29     0.205485
          30     0.205464
