#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              15.5945              15.5945                    0
           2              15.4822              15.5384            0.0397213
           3              15.7867              15.6211             0.072587
           4              15.5485               15.603            0.0566653
           5              15.4905              15.5805            0.0495957
           6              15.6857               15.598             0.044319
           7              15.4873              15.5822            0.0407136
           8              15.6357              15.5889            0.0361689
           9              15.5942              15.5895             0.032155
          10              15.6722              15.5977            0.0299857
          11              15.7437               15.611            0.0300509
          12              15.5063              15.6023            0.0287864
          13              15.4859              15.5933            0.0279288
          14              15.5815              15.5925            0.0259466
          15              15.5579              15.5902             0.024319
          16              15.3423              15.5747             0.027291
          17              15.6188              15.5773            0.0258085
          18              15.7237              15.5854            0.0256245
          19              15.6103              15.5867            0.0243092
          20              15.6032              15.5875            0.0231078
          21               15.661               15.591            0.0222705
          22              15.6991               15.596            0.0217933
          23              15.6279              15.5973              0.02089
          24              15.6482              15.5995            0.0201266
          25              15.7856              15.6069            0.0206529
          26              15.6652              15.6092            0.0199797
          27              15.5389              15.6066            0.0194082
          28              15.7979              15.6134            0.0198823
          29              15.5484              15.6111            0.0193227
          30              15.7059              15.6143            0.0189351
