#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              139.893              139.893                    0
           2              141.625              140.759             0.612233
           3              145.412               142.31              1.33041
           4              142.742              142.418              1.00218
           5              143.893              142.713             0.844059
           6              143.951               142.92             0.728173
           7              142.224               142.82             0.630893
           8              144.779              143.065             0.597665
           9              142.907              143.047             0.531516
          10              142.232              142.966             0.484576
          11              141.536              142.836             0.457627
          12              144.464              142.972             0.439136
          13              140.745                142.8             0.437484
          14              142.409              142.772             0.407129
          15              142.899              142.781             0.380074
          16              141.264              142.686              0.36796
          17              144.105              142.769             0.355654
          18              145.286              142.909             0.362337
          19              144.066               142.97             0.348343
          20              143.439              142.994             0.331712
          21              143.224              143.005             0.316098
          22              143.824              143.042             0.303916
          23              141.864              142.991             0.294981
          24              145.197              143.083             0.296669
          25              142.547              143.061             0.285574
          26              142.215              143.029             0.276439
          27              143.628              143.051              0.26709
          28              144.381              143.098             0.261742
          29              142.963              143.094             0.252758
          30              142.575              143.076             0.244923
