#   N_BLOCK:  ACCEPTANCE:
           1     0.394002
           2     0.394114
           3      0.39393
           4     0.393957
           5     0.393929
           6      0.39391
           7     0.393965
           8     0.393942
           9     0.393869
          10     0.393864
          11      0.39395
          12     0.393935
          13     0.393932
          14     0.394033
          15     0.394022
          16     0.393984
          17      0.39394
          18     0.393954
          19     0.394013
          20     0.394017
          21     0.394014
          22     0.393976
          23     0.393995
          24      0.39399
          25      0.39401
          26     0.394033
          27     0.394033
          28      0.39405
          29     0.394034
          30     0.394003
