#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.87216              2.87216                    0
           2              2.95816              2.91516            0.0304056
           3              2.97074              2.93369            0.0252926
           4              2.87854               2.9199            0.0224141
           5              2.77824              2.89157            0.0310434
           6              3.08362              2.92358             0.039026
           7              2.76434              2.90083            0.0395286
           8              2.89444              2.90003            0.0345956
           9              2.96912              2.90771            0.0315919
          10               3.0837              2.92531            0.0329724
          11              2.60538              2.89622            0.0408349
          12               2.7371              2.88296            0.0395263
          13              2.78714              2.87559            0.0371668
          14              2.92042              2.87879            0.0346496
          15              2.80616              2.87395            0.0326763
          16              2.96584              2.87969            0.0311346
          17              2.72456              2.87057            0.0306113
          18              2.83716              2.86871            0.0289669
          19               2.7256              2.86118            0.0284047
          20              3.04454              2.87035            0.0284256
          21              2.75018              2.86463            0.0276419
          22               3.0207              2.87172            0.0272807
          23              2.82808              2.86982            0.0261604
          24              2.67464              2.86169            0.0263042
          25              2.73776              2.85673            0.0257149
          26              2.85774              2.85677            0.0247259
          27              2.85432              2.85668            0.0238103
          28              2.75736              2.85313            0.0232226
          29              3.04128              2.85962            0.0233105
          30              2.76736              2.85655            0.0227354
